"benchmark","benchmark id","expected","cyclist","sleek","spen"
"FDB_entl/skl3-vc02.smt2","945950","sat","2400.1","1.02584","0.016996"
"FDB_entl/dll-vc09.smt2","945909","unsat","0.153976","0.120981","0.012997"
"FDB_entl/nll-vc08.smt2","945943","unsat","4.94925","0.45493","0.012997"
"FDB_entl/dll-vc08.smt2","945916","unsat","1245.4","0.143977","0.012997"
"FDB_entl/dll-vc05.smt2","945915","unsat","0.556915","0.121981","0.008998"
"FDB_entl/skl3-vc05.smt2","945913","unsat","2400.1","43.8243","0.029995"
"FDB_entl/skl2-vc01.smt2","945928","unsat","0.078987","0.070989","0.013996"
"FDB_entl/nll-vc02.smt2","945917","unsat","2400.03","0.112981","0.012997"
"FDB_entl/skl3-vc10.smt2","945935","unsat","2400.09","0.286955","0.017996"
"FDB_entl/nll-vc10.smt2","945918","unsat","2.50862","0.330949","0.011997"
"FDB_entl/nll-vc03.smt2","945936","unsat","2400.07","0.19497","0.012997"
"FDB_entl/skl2-vc03.smt2","945930","unsat","2400.04","33.7479","0.013997"
"FDB_entl/skl3-vc08.smt2","945929","unsat","2400.07","40.3199","0.025995"
"FDB_entl/nll-vc01.smt2","945922","unsat","2400.03","0.114982","0.011997"
"FDB_entl/skl3-vc06.smt2","945911","unsat","2400.09","7.11492","0.029994"
"FDB_entl/nll-vc11.smt2","945947","unsat","0.032994","0.19197","0.012997"
"FDB_entl/skl2-vc04.smt2","945912","unsat","1.9807","0.142977","0.012997"
"FDB_entl/dll-vc03.smt2","945924","unsat","0.016996","0.089986","0.012997"
"FDB_entl/dll-vc01.smt2","945945","unsat","0.008998","0.072987","0.011997"
"FDB_entl/nll-vc16.smt2","945941","sat","2400.0","0.237963","0.012997"
"FDB_entl/skl3-vc07.smt2","945932","unsat","2400.01","2.19367","0.024995"
"FDB_entl/nll-vc13.smt2","945927","sat","2400.05","0.180971","0.011997"
"FDB_entl/dll-vc11.smt2","945951","unsat","28.8676","0.12698","0.008998"
"FDB_entl/dll-vc13.smt2","945910","sat","12.2881","0.089985","0.010997"
"FDB_entl/nll-vc06.smt2","945931","sat","2400.05","0.350946","0.012997"
"FDB_entl/nll-vc14.smt2","945938","sat","2400.07","0.284956","0.011997"
"FDB_entl/nll-vc07.smt2","945939","unsat","0.073988","0.184971","0.012997"
"FDB_entl/nll-vc12.smt2","945921","unsat","0.067989","0.093985","0.011998"
"FDB_entl/skl2-vc02.smt2","945937","unsat","0.831873","0.070988","0.012997"
"FDB_entl/nll-vc05.smt2","945920","unsat","11.5932","0.166974","0.012997"
"FDB_entl/skl3-vc04.smt2","945926","unsat","2400.02","3.02754","0.028995"
"FDB_entl/nll-vc09.smt2","945925","unsat","0.350946","0.231963","0.012997"
"FDB_entl/dll-vc02.smt2","945946","unsat","0.008998","0.072988","0.011997"
"FDB_entl/dll-vc10.smt2","945940","unsat","2400.0","0.153975","0.012997"
"FDB_entl/dll-vc12.smt2","945948","sat","305.842","0.130979","0.011997"
"FDB_entl/skl3-vc01.smt2","945944","unsat","87.3397","0.096984","0.014997"
"FDB_entl/dll-vc07.smt2","945923","unsat","0.052991","0.088985","0.011997"
"FDB_entl/dll-vc04.smt2","945942","sat","3.82542","0.081987","0.010997"
"FDB_entl/nll-vc15.smt2","945934","sat","2400.06","0.176972","0.011997"
"FDB_entl/dll-vc06.smt2","945949","unsat","429.937","0.177972","0.012997"
"FDB_entl/skl3-vc03.smt2","945933","unsat","2.88456","6.44302","0.017996"
"FDB_entl/nll-vc04.smt2","945914","unsat","2400.06","0.402938","0.012997"
"FDB_entl/skl3-vc09.smt2","945919","unsat","2400.07","5.68713","0.026995"
