"benchmark","benchmark id","expected","cyclist","sleek","spen"
"FDB_entl/skl3-vc02.smt2","945950","sat","timeout (cpu)","complete","complete"
"FDB_entl/dll-vc09.smt2","945909","unsat","complete","complete","complete"
"FDB_entl/nll-vc08.smt2","945943","unsat","complete","complete","complete"
"FDB_entl/dll-vc08.smt2","945916","unsat","complete","complete","complete"
"FDB_entl/dll-vc05.smt2","945915","unsat","complete","complete","complete"
"FDB_entl/skl3-vc05.smt2","945913","unsat","timeout (cpu)","complete","complete"
"FDB_entl/skl2-vc01.smt2","945928","unsat","complete","complete","complete"
"FDB_entl/nll-vc02.smt2","945917","unsat","timeout (cpu)","complete","complete"
"FDB_entl/skl3-vc10.smt2","945935","unsat","timeout (cpu)","complete","complete"
"FDB_entl/nll-vc10.smt2","945918","unsat","complete","complete","complete"
"FDB_entl/nll-vc03.smt2","945936","unsat","timeout (cpu)","complete","complete"
"FDB_entl/skl2-vc03.smt2","945930","unsat","timeout (cpu)","complete","complete"
"FDB_entl/skl3-vc08.smt2","945929","unsat","timeout (cpu)","complete","complete"
"FDB_entl/nll-vc01.smt2","945922","unsat","timeout (cpu)","complete","complete"
"FDB_entl/skl3-vc06.smt2","945911","unsat","timeout (cpu)","complete","complete"
"FDB_entl/nll-vc11.smt2","945947","unsat","complete","complete","complete"
"FDB_entl/skl2-vc04.smt2","945912","unsat","complete","complete","complete"
"FDB_entl/dll-vc03.smt2","945924","unsat","complete","complete","complete"
"FDB_entl/dll-vc01.smt2","945945","unsat","complete","complete","complete"
"FDB_entl/nll-vc16.smt2","945941","sat","timeout (cpu)","complete","complete"
"FDB_entl/skl3-vc07.smt2","945932","unsat","timeout (cpu)","complete","complete"
"FDB_entl/nll-vc13.smt2","945927","sat","timeout (cpu)","complete","complete"
"FDB_entl/dll-vc11.smt2","945951","unsat","complete","complete","complete"
"FDB_entl/dll-vc13.smt2","945910","sat","complete","complete","complete"
"FDB_entl/nll-vc06.smt2","945931","sat","timeout (cpu)","complete","complete"
"FDB_entl/nll-vc14.smt2","945938","sat","timeout (cpu)","complete","complete"
"FDB_entl/nll-vc07.smt2","945939","unsat","complete","complete","complete"
"FDB_entl/nll-vc12.smt2","945921","unsat","complete","complete","complete"
"FDB_entl/skl2-vc02.smt2","945937","unsat","complete","complete","complete"
"FDB_entl/nll-vc05.smt2","945920","unsat","complete","complete","complete"
"FDB_entl/skl3-vc04.smt2","945926","unsat","timeout (cpu)","complete","complete"
"FDB_entl/nll-vc09.smt2","945925","unsat","complete","complete","complete"
"FDB_entl/dll-vc02.smt2","945946","unsat","complete","complete","complete"
"FDB_entl/dll-vc10.smt2","945940","unsat","timeout (cpu)","complete","complete"
"FDB_entl/dll-vc12.smt2","945948","sat","complete","complete","complete"
"FDB_entl/skl3-vc01.smt2","945944","unsat","complete","complete","complete"
"FDB_entl/dll-vc07.smt2","945923","unsat","complete","complete","complete"
"FDB_entl/dll-vc04.smt2","945942","sat","complete","complete","complete"
"FDB_entl/nll-vc15.smt2","945934","sat","timeout (cpu)","complete","complete"
"FDB_entl/dll-vc06.smt2","945949","unsat","complete","complete","complete"
"FDB_entl/skl3-vc03.smt2","945933","unsat","complete","complete","complete"
"FDB_entl/nll-vc04.smt2","945914","unsat","timeout (cpu)","complete","complete"
"FDB_entl/skl3-vc09.smt2","945919","unsat","timeout (cpu)","complete","complete"
