pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21851950,FDB_entl/dll-vc09.smt2,945909,sleek-06,1297,default,1834,complete,0.120981,0.131527,unsat,unsat
21851951,FDB_entl/dll-vc13.smt2,945910,sleek-06,1297,default,1834,complete,0.089985,0.088417,starexec-unknown,sat
21851952,FDB_entl/skl3-vc06.smt2,945911,sleek-06,1297,default,1834,complete,7.11492,7.01093,starexec-unknown,unsat
21851953,FDB_entl/skl2-vc04.smt2,945912,sleek-06,1297,default,1834,complete,0.142977,0.139582,unsat,unsat
21851954,FDB_entl/skl3-vc05.smt2,945913,sleek-06,1297,default,1834,complete,43.8243,43.2957,starexec-unknown,unsat
21851955,FDB_entl/nll-vc04.smt2,945914,sleek-06,1297,default,1834,complete,0.402938,0.396453,unsat,unsat
21851956,FDB_entl/dll-vc05.smt2,945915,sleek-06,1297,default,1834,complete,0.121981,0.120144,unsat,unsat
21851957,FDB_entl/dll-vc08.smt2,945916,sleek-06,1297,default,1834,complete,0.143977,0.143761,starexec-unknown,unsat
21851958,FDB_entl/nll-vc02.smt2,945917,sleek-06,1297,default,1834,complete,0.112981,0.111191,unsat,unsat
21851959,FDB_entl/nll-vc10.smt2,945918,sleek-06,1297,default,1834,complete,0.330949,0.325226,unsat,unsat
21851960,FDB_entl/skl3-vc09.smt2,945919,sleek-06,1297,default,1834,complete,5.68713,5.58627,starexec-unknown,unsat
21851961,FDB_entl/nll-vc05.smt2,945920,sleek-06,1297,default,1834,complete,0.166974,0.169936,unsat,unsat
21851962,FDB_entl/nll-vc12.smt2,945921,sleek-06,1297,default,1834,complete,0.093985,0.09204,unsat,unsat
21851963,FDB_entl/nll-vc01.smt2,945922,sleek-06,1297,default,1834,complete,0.114982,0.113759,unsat,unsat
21851964,FDB_entl/dll-vc07.smt2,945923,sleek-06,1297,default,1834,complete,0.088985,0.095148,starexec-unknown,unsat
21851965,FDB_entl/dll-vc03.smt2,945924,sleek-06,1297,default,1834,complete,0.089986,0.0884421,unsat,unsat
21851966,FDB_entl/nll-vc09.smt2,945925,sleek-06,1297,default,1834,complete,0.231963,0.226624,unsat,unsat
21851967,FDB_entl/skl3-vc04.smt2,945926,sleek-06,1297,default,1834,complete,3.02754,2.9858,starexec-unknown,unsat
21851968,FDB_entl/nll-vc13.smt2,945927,sleek-06,1297,default,1834,complete,0.180971,0.186316,sat,sat
21851969,FDB_entl/skl2-vc01.smt2,945928,sleek-06,1297,default,1834,complete,0.070989,0.071716,unsat,unsat
21851970,FDB_entl/skl3-vc08.smt2,945929,sleek-06,1297,default,1834,complete,40.3199,39.8098,starexec-unknown,unsat
21851971,FDB_entl/skl2-vc03.smt2,945930,sleek-06,1297,default,1834,complete,33.7479,33.523,sat,unsat
21851972,FDB_entl/nll-vc06.smt2,945931,sleek-06,1297,default,1834,complete,0.350946,0.348982,sat,sat
21851973,FDB_entl/skl3-vc07.smt2,945932,sleek-06,1297,default,1834,complete,2.19367,2.16092,starexec-unknown,unsat
21851974,FDB_entl/skl3-vc03.smt2,945933,sleek-06,1297,default,1834,complete,6.44302,6.34706,unsat,unsat
21851975,FDB_entl/nll-vc15.smt2,945934,sleek-06,1297,default,1834,complete,0.176972,0.173396,sat,sat
21851976,FDB_entl/skl3-vc10.smt2,945935,sleek-06,1297,default,1834,complete,0.286955,0.282518,unsat,unsat
21851977,FDB_entl/nll-vc03.smt2,945936,sleek-06,1297,default,1834,complete,0.19497,0.192459,unsat,unsat
21851978,FDB_entl/skl2-vc02.smt2,945937,sleek-06,1297,default,1834,complete,0.070988,0.0795271,unsat,unsat
21851979,FDB_entl/nll-vc14.smt2,945938,sleek-06,1297,default,1834,complete,0.284956,0.28101,sat,sat
21851980,FDB_entl/nll-vc07.smt2,945939,sleek-06,1297,default,1834,complete,0.184971,0.18102,unsat,unsat
21851981,FDB_entl/dll-vc10.smt2,945940,sleek-06,1297,default,1834,complete,0.153975,0.16083,starexec-unknown,unsat
21851982,FDB_entl/nll-vc16.smt2,945941,sleek-06,1297,default,1834,complete,0.237963,0.253679,sat,sat
21851983,FDB_entl/dll-vc04.smt2,945942,sleek-06,1297,default,1834,complete,0.081987,0.0811809,sat,sat
21851984,FDB_entl/nll-vc08.smt2,945943,sleek-06,1297,default,1834,complete,0.45493,0.461252,unsat,unsat
21851985,FDB_entl/skl3-vc01.smt2,945944,sleek-06,1297,default,1834,complete,0.096984,0.108174,unsat,unsat
21851986,FDB_entl/dll-vc01.smt2,945945,sleek-06,1297,default,1834,complete,0.072987,0.0718269,unsat,unsat
21851987,FDB_entl/dll-vc02.smt2,945946,sleek-06,1297,default,1834,complete,0.072988,0.087335,unsat,unsat
21851988,FDB_entl/nll-vc11.smt2,945947,sleek-06,1297,default,1834,complete,0.19197,0.197773,unsat,unsat
21851989,FDB_entl/dll-vc12.smt2,945948,sleek-06,1297,default,1834,complete,0.130979,0.130436,starexec-unknown,sat
21851990,FDB_entl/dll-vc06.smt2,945949,sleek-06,1297,default,1834,complete,0.177972,0.174427,unsat,unsat
21851991,FDB_entl/skl3-vc02.smt2,945950,sleek-06,1297,default,1834,complete,1.02584,1.01677,sat,sat
21851992,FDB_entl/dll-vc11.smt2,945951,sleek-06,1297,default,1834,complete,0.12698,0.124336,unsat,unsat
