pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21851993,FDB_entl/dll-vc09.smt2,945909,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.030918,unsat,unsat
21851994,FDB_entl/dll-vc13.smt2,945910,SPEN v1.09,1280,spen.sh,1809,complete,0.010997,0.0466771,sat,sat
21851995,FDB_entl/skl3-vc06.smt2,945911,SPEN v1.09,1280,spen.sh,1809,complete,0.029994,0.0424461,unsat,unsat
21851996,FDB_entl/skl2-vc04.smt2,945912,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0277681,unsat,unsat
21851997,FDB_entl/skl3-vc05.smt2,945913,SPEN v1.09,1280,spen.sh,1809,complete,0.029995,0.04738,unsat,unsat
21851998,FDB_entl/nll-vc04.smt2,945914,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0233359,unsat,unsat
21851999,FDB_entl/dll-vc05.smt2,945915,SPEN v1.09,1280,spen.sh,1809,complete,0.008998,0.0241311,unsat,unsat
21852000,FDB_entl/dll-vc08.smt2,945916,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.033518,unsat,unsat
21852001,FDB_entl/nll-vc02.smt2,945917,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0388289,unsat,unsat
21852002,FDB_entl/nll-vc10.smt2,945918,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.0283679,unsat,unsat
21852003,FDB_entl/skl3-vc09.smt2,945919,SPEN v1.09,1280,spen.sh,1809,complete,0.026995,0.0367249,unsat,unsat
21852004,FDB_entl/nll-vc05.smt2,945920,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.038918,unsat,unsat
21852005,FDB_entl/nll-vc12.smt2,945921,SPEN v1.09,1280,spen.sh,1809,complete,0.011998,0.0903241,unsat,unsat
21852006,FDB_entl/nll-vc01.smt2,945922,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.0467639,unsat,unsat
21852007,FDB_entl/dll-vc07.smt2,945923,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.0278609,unsat,unsat
21852008,FDB_entl/dll-vc03.smt2,945924,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.022849,unsat,unsat
21852009,FDB_entl/nll-vc09.smt2,945925,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.025596,unsat,unsat
21852010,FDB_entl/skl3-vc04.smt2,945926,SPEN v1.09,1280,spen.sh,1809,complete,0.028995,0.0387789,unsat,unsat
21852011,FDB_entl/nll-vc13.smt2,945927,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.030831,sat,sat
21852012,FDB_entl/skl2-vc01.smt2,945928,SPEN v1.09,1280,spen.sh,1809,complete,0.013996,0.0449891,unsat,unsat
21852013,FDB_entl/skl3-vc08.smt2,945929,SPEN v1.09,1280,spen.sh,1809,complete,0.025995,0.037169,unsat,unsat
21852014,FDB_entl/skl2-vc03.smt2,945930,SPEN v1.09,1280,spen.sh,1809,complete,0.013997,0.0348509,unsat,unsat
21852015,FDB_entl/nll-vc06.smt2,945931,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0539091,sat,sat
21852016,FDB_entl/skl3-vc07.smt2,945932,SPEN v1.09,1280,spen.sh,1809,complete,0.024995,0.0338271,unsat,unsat
21852017,FDB_entl/skl3-vc03.smt2,945933,SPEN v1.09,1280,spen.sh,1809,complete,0.017996,0.027903,unsat,unsat
21852018,FDB_entl/nll-vc15.smt2,945934,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.032816,sat,sat
21852019,FDB_entl/skl3-vc10.smt2,945935,SPEN v1.09,1280,spen.sh,1809,complete,0.017996,0.037342,unsat,unsat
21852020,FDB_entl/nll-vc03.smt2,945936,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0227259,unsat,unsat
21852021,FDB_entl/skl2-vc02.smt2,945937,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0368731,unsat,unsat
21852022,FDB_entl/nll-vc14.smt2,945938,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.035755,sat,sat
21852023,FDB_entl/nll-vc07.smt2,945939,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0439,unsat,unsat
21852024,FDB_entl/dll-vc10.smt2,945940,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0406079,unsat,unsat
21852025,FDB_entl/nll-vc16.smt2,945941,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0229569,sat,sat
21852026,FDB_entl/dll-vc04.smt2,945942,SPEN v1.09,1280,spen.sh,1809,complete,0.010997,0.027195,sat,sat
21852027,FDB_entl/nll-vc08.smt2,945943,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.043267,unsat,unsat
21852028,FDB_entl/skl3-vc01.smt2,945944,SPEN v1.09,1280,spen.sh,1809,complete,0.014997,0.031199,unsat,unsat
21852029,FDB_entl/dll-vc01.smt2,945945,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.025566,unsat,unsat
21852030,FDB_entl/dll-vc02.smt2,945946,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.062417,unsat,unsat
21852031,FDB_entl/nll-vc11.smt2,945947,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0290531,unsat,unsat
21852032,FDB_entl/dll-vc12.smt2,945948,SPEN v1.09,1280,spen.sh,1809,complete,0.011997,0.027844,sat,sat
21852033,FDB_entl/dll-vc06.smt2,945949,SPEN v1.09,1280,spen.sh,1809,complete,0.012997,0.0249671,unsat,unsat
21852034,FDB_entl/skl3-vc02.smt2,945950,SPEN v1.09,1280,spen.sh,1809,complete,0.016996,0.038725,sat,sat
21852035,FDB_entl/dll-vc11.smt2,945951,SPEN v1.09,1280,spen.sh,1809,complete,0.008998,0.0301731,unsat,unsat
