"benchmark","benchmark id","expected","cyclist","sleek","slide"
"UDB_entl/odd-lseg3_slk-2.smt2","945787","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_sll_cll_slk-11.smt2","945701","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/22.tst.smt2","945786","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/dll2-spaghetti-existential.smt2","945726","unsat","starexec-unknown","starexec-unknown","unsat"
"UDB_entl/append_sll_ls_slk-4.smt2","945687","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_sll_ls_slk-1.smt2","945668","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/skl2-vc04.smt2","945634","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/node-dll-rev-dll-entails-dll.smt2","945630","unsat","starexec-unknown","starexec-unknown","unsat"
"UDB_entl/append_sll_cll_slk-5.smt2","945795","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/04.tst.smt2","945725","unsat","unsat","unsat","unsat"
"UDB_entl/append_sll_cll_slk-6.smt2","945789","sat","starexec-unknown","sat","starexec-unknown"
"UDB_entl/07.tst.smt2","945796","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/lsegex4_slk-6.smt2","945651","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_sll_cll_slk-4.smt2","945705","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_sll_cll_slk-7.smt2","945699","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_sll_cll_slk-10.smt2","945747","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/lss-vc01.smt2","945658","unsat","unsat","unsat","unsat"
"UDB_entl/append_sll_ls_slk-7.smt2","945756","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/skl3-vc06.smt2","945633","unsat","starexec-unknown","starexec-unknown","starexec-unknown"
"UDB_entl/dll-vc05.smt2","945656","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_sll_cll_slk-18.smt2","945643","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_sll_ls_slk-8.smt2","945757","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/elseg4_slk-8.smt2","945690","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_sll_slk-1.smt2","945772","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/10.tst.smt2","945697","unsat","unsat","starexec-unknown","unsat"
"UDB_entl/dll-spaghetti.smt2","945693","unsat","starexec-unknown","starexec-unknown","unsat"
"UDB_entl/skl3-vc02.smt2","945788","sat","starexec-unknown","sat","starexec-unknown"
"UDB_entl/dll-vc04.smt2","945755","sat","starexec-unknown","sat","starexec-unknown"
"UDB_entl/dll-entails-node-dll-rev.smt2","945642","sat","starexec-unknown","sat","sat"
"UDB_entl/dll-vc13.smt2","945631","sat","starexec-unknown","starexec-unknown","starexec-unknown"
"UDB_entl/lsegex4_slk-1.smt2","945706","unsat","starexec-unknown","unsat","starexec-unknown"
"UDB_entl/append_sll_cll_slk-12.smt2","945696","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/dll-rev-entails-dll-mid.smt2","945635","unsat","unsat","starexec-unknown","unsat"
"UDB_entl/skl3-vc07.smt2","945723","unsat","starexec-unknown","starexec-unknown","starexec-unknown"
"UDB_entl/tll_slk-7.smt2","945732","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_dll_slk-10.smt2","945736","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/odd-lseg3_slk-5.smt2","945784","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/elseg4_slk-1.smt2","945665","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/nll-vc05.smt2","945676","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/dll-vc03.smt2","945694","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/node-tll-tll-entails-tll.smt2","945681","unsat","starexec-unknown","starexec-unknown","unsat"
"UDB_entl/tll_slk-8.smt2","945779","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/08.tst.smt2","945648","unsat","unsat","starexec-unknown","starexec-unknown"
"UDB_entl/odd-lseg3_slk-4.smt2","945759","sat","starexec-unknown","sat","starexec-unknown"
"UDB_entl/append_sll_cll_slk-9.smt2","945770","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/append_dll_slk-2.smt2","945689","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/skl3-vc03.smt2","945724","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/dll-entails-dll-rev.smt2","945737","unsat","starexec-unknown","starexec-unknown","unsat"
"UDB_entl/16.tst.smt2","945659","unsat","unsat","starexec-unknown","unsat"
"UDB_entl/tll_slk-6.smt2","945662","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/dll-vc12.smt2","945777","sat","starexec-unknown","starexec-unknown","starexec-unknown"
"UDB_entl/append_dll_slk-5.smt2","945738","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/nll-vc14.smt2","945743","sat","starexec-unknown","sat","starexec-unknown"
"UDB_entl/11.tst.smt2","945728","unsat","unsat","sat","unsat"
"UDB_entl/tll_slk-5.smt2","945780","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/skl3-vc09.smt2","945673","unsat","starexec-unknown","starexec-unknown","starexec-unknown"
"UDB_entl/skl2-vc01.smt2","945713","unsat","unsat","unsat","starexec-unknown"
"UDB_entl/elseg4_slk-2.smt2","945729","unsat","unsat","unsat","starexec-unknown"
