"benchmark","benchmark id","expected","cyclist","sleek","slide"
"UDB_entl/odd-lseg3_slk-2.smt2","945787","unsat","complete--0.006998--unsat","complete--0.045992--unsat","complete--0.047992--starexec-unknown"
"UDB_entl/append_sll_cll_slk-11.smt2","945701","unsat","complete--0.006998--unsat","complete--0.05699--unsat","complete--0.045992--starexec-unknown"
"UDB_entl/22.tst.smt2","945786","unsat","complete--1.11683--unsat","complete--0.046992--unsat","complete--0.048992--starexec-unknown"
"UDB_entl/dll2-spaghetti-existential.smt2","945726","unsat","timeout (cpu)--2400.02--starexec-unknown","complete--0.142978--starexec-unknown","complete--2.79357--unsat"
"UDB_entl/append_sll_ls_slk-4.smt2","945687","unsat","complete--0.006998--unsat","complete--0.073988--unsat","complete--0.048992--starexec-unknown"
"UDB_entl/append_sll_ls_slk-1.smt2","945668","unsat","complete--0.006998--unsat","complete--0.061989--unsat","complete--0.046992--starexec-unknown"
"UDB_entl/skl2-vc04.smt2","945634","unsat","complete--1.9817--unsat","complete--0.141977--unsat","complete--0.046992--starexec-unknown"
"UDB_entl/node-dll-rev-dll-entails-dll.smt2","945630","unsat","timeout (cpu)--2400.03--starexec-unknown","complete--0.091985--starexec-unknown","complete--0.05999--unsat"
"UDB_entl/append_sll_cll_slk-5.smt2","945795","unsat","complete--0.006998--unsat","complete--0.067989--unsat","complete--0.044992--starexec-unknown"
"UDB_entl/04.tst.smt2","945725","unsat","complete--0.022995--unsat","complete--0.05899--unsat","complete--0.057991--unsat"
"UDB_entl/append_sll_cll_slk-6.smt2","945789","sat","complete--11.3483--starexec-unknown","complete--0.067989--sat","complete--0.047992--starexec-unknown"
"UDB_entl/07.tst.smt2","945796","unsat","complete--0.023995--unsat","complete--0.078987--unsat","complete--0.048992--starexec-unknown"
"UDB_entl/lsegex4_slk-6.smt2","945651","unsat","complete--0.023995--unsat","complete--0.05999--unsat","complete--0.046991--starexec-unknown"
"UDB_entl/append_sll_cll_slk-4.smt2","945705","unsat","complete--0.006998--unsat","complete--0.066989--unsat","complete--0.044992--starexec-unknown"
"UDB_entl/append_sll_cll_slk-7.smt2","945699","unsat","complete--0.006998--unsat","complete--0.06299--unsat","complete--0.044992--starexec-unknown"
"UDB_entl/append_sll_cll_slk-10.smt2","945747","unsat","complete--0.007998--unsat","complete--0.05999--unsat","complete--0.045992--starexec-unknown"
"UDB_entl/lss-vc01.smt2","945658","unsat","complete--0.006998--unsat","complete--0.05399--unsat","complete--0.056991--unsat"
"UDB_entl/append_sll_ls_slk-7.smt2","945756","unsat","complete--0.007998--unsat","complete--0.072988--unsat","complete--0.047992--starexec-unknown"
"UDB_entl/skl3-vc06.smt2","945633","unsat","timeout (cpu)--2400.09--starexec-unknown","complete--6.75997--starexec-unknown","complete--0.048991--starexec-unknown"
"UDB_entl/dll-vc05.smt2","945656","unsat","complete--0.563914--unsat","complete--0.12198--unsat","complete--0.049991--starexec-unknown"
"UDB_entl/append_sll_cll_slk-18.smt2","945643","unsat","complete--0.006998--unsat","complete--0.06199--unsat","complete--0.046992--starexec-unknown"
"UDB_entl/append_sll_ls_slk-8.smt2","945757","unsat","complete--0.011997--unsat","complete--0.05899--unsat","complete--0.047992--starexec-unknown"
"UDB_entl/elseg4_slk-8.smt2","945690","unsat","complete--0.005998--unsat","complete--0.05799--unsat","complete--0.048992--starexec-unknown"
"UDB_entl/append_sll_slk-1.smt2","945772","unsat","complete--0.015996--unsat","complete--0.048992--unsat","complete--0.048991--starexec-unknown"
"UDB_entl/10.tst.smt2","945697","unsat","complete--0.06099--unsat","complete--0.041992--starexec-unknown","complete--0.050992--unsat"
"UDB_entl/dll-spaghetti.smt2","945693","unsat","timeout (cpu)--2400.07--starexec-unknown","timeout (cpu)--2400.08--starexec-unknown","complete--13.264--unsat"
"UDB_entl/skl3-vc02.smt2","945788","sat","timeout (cpu)--2400.03--starexec-unknown","complete--1.12583--sat","complete--0.048991--starexec-unknown"
"UDB_entl/dll-vc04.smt2","945755","sat","complete--3.80442--starexec-unknown","complete--0.076987--sat","complete--0.045992--starexec-unknown"
"UDB_entl/dll-entails-node-dll-rev.smt2","945642","sat","timeout (cpu)--2400.1--starexec-unknown","complete--0.05599--sat","complete--0.066989--sat"
"UDB_entl/dll-vc13.smt2","945631","sat","complete--12.2541--starexec-unknown","complete--0.087985--starexec-unknown","complete--0.048992--starexec-unknown"
"UDB_entl/lsegex4_slk-1.smt2","945706","unsat","timeout (cpu)--2400.01--starexec-unknown","complete--0.067989--unsat","complete--0.045992--starexec-unknown"
"UDB_entl/append_sll_cll_slk-12.smt2","945696","unsat","complete--0.006998--unsat","complete--0.05299--unsat","complete--0.048991--starexec-unknown"
"UDB_entl/dll-rev-entails-dll-mid.smt2","945635","unsat","complete--0.053991--unsat","complete--0.083986--starexec-unknown","complete--0.075988--unsat"
"UDB_entl/skl3-vc07.smt2","945723","unsat","timeout (cpu)--2400.09--starexec-unknown","complete--4.33566--starexec-unknown","complete--0.050991--starexec-unknown"
"UDB_entl/tll_slk-7.smt2","945732","unsat","complete--0.006998--unsat","complete--0.074987--unsat","complete--0.050991--starexec-unknown"
"UDB_entl/append_dll_slk-10.smt2","945736","unsat","complete--0.045992--unsat","complete--0.082986--unsat","complete--0.050991--starexec-unknown"
"UDB_entl/odd-lseg3_slk-5.smt2","945784","unsat","complete--0.58891--unsat","complete--0.055991--unsat","complete--0.049991--starexec-unknown"
"UDB_entl/elseg4_slk-1.smt2","945665","unsat","complete--0.006998--unsat","complete--0.05999--unsat","complete--0.048992--starexec-unknown"
