pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21853696,UDB_entl/tll-pp-rev-entails-tll-pp.smt2,945679,Cyclist-SL,1136,default,1487,timeout (cpu),2400.04,2398.91,starexec-unknown,unsat
21853697,UDB_entl/odd-lseg3_slk-7.smt2,945680,Cyclist-SL,1136,default,1487,complete,0.006998,0.018747,unsat,unsat
21853698,UDB_entl/node-tll-tll-entails-tll.smt2,945681,Cyclist-SL,1136,default,1487,timeout (cpu),2400.01,2399.21,starexec-unknown,unsat
21853699,UDB_entl/nll-vc01.smt2,945682,Cyclist-SL,1136,default,1487,timeout (cpu),2400.06,2399.12,starexec-unknown,unsat
21853700,UDB_entl/lsegex4_slk-2.smt2,945683,Cyclist-SL,1136,default,1487,complete,0.272958,0.277845,starexec-unknown,sat
21853701,UDB_entl/append_dll_slk-12.smt2,945684,Cyclist-SL,1136,default,1487,complete,0.008998,0.0212011,unsat,unsat
21853702,UDB_entl/dll-vc07.smt2,945685,Cyclist-SL,1136,default,1487,complete,0.053991,0.0586109,unsat,unsat
21853703,UDB_entl/tll_slk-2.smt2,945686,Cyclist-SL,1136,default,1487,complete,0.005998,0.0119459,unsat,unsat
21853704,UDB_entl/append_sll_ls_slk-4.smt2,945687,Cyclist-SL,1136,default,1487,complete,0.006998,0.01112,unsat,unsat
21853705,UDB_entl/01.tst.smt2,945688,Cyclist-SL,1136,default,1487,complete,0.023995,0.028871,unsat,unsat
21853706,UDB_entl/append_dll_slk-2.smt2,945689,Cyclist-SL,1136,default,1487,complete,0.006998,0.0116781,unsat,unsat
21853707,UDB_entl/elseg4_slk-8.smt2,945690,Cyclist-SL,1136,default,1487,complete,0.005998,0.018739,unsat,unsat
21853708,UDB_entl/tree-pp-rev-entails-tree-pp.smt2,945691,Cyclist-SL,1136,default,1487,timeout (cpu),2400.01,2399.21,starexec-unknown,unsat
21853709,UDB_entl/append_sll_slk-4.smt2,945692,Cyclist-SL,1136,default,1487,complete,0.005998,0.0103021,unsat,unsat
21853710,UDB_entl/dll-spaghetti.smt2,945693,Cyclist-SL,1136,default,1487,timeout (cpu),2400.07,2399.12,starexec-unknown,unsat
21853711,UDB_entl/dll-vc03.smt2,945694,Cyclist-SL,1136,default,1487,complete,0.014997,0.02702,unsat,unsat
21853712,UDB_entl/tll-ravioli-existential.smt2,945695,Cyclist-SL,1136,default,1487,complete,0.006998,0.0113889,unsat,unsat
21853713,UDB_entl/append_sll_cll_slk-12.smt2,945696,Cyclist-SL,1136,default,1487,complete,0.006998,0.0197791,unsat,unsat
21853714,UDB_entl/10.tst.smt2,945697,Cyclist-SL,1136,default,1487,complete,0.06099,0.073675,unsat,unsat
21853715,UDB_entl/append_sll_cll_slk-2.smt2,945698,Cyclist-SL,1136,default,1487,complete,0.006998,0.011158,unsat,unsat
21853716,UDB_entl/append_sll_cll_slk-7.smt2,945699,Cyclist-SL,1136,default,1487,complete,0.006998,0.0119211,unsat,unsat
21853717,UDB_entl/append_sll_slk-8.smt2,945700,Cyclist-SL,1136,default,1487,complete,0.008998,0.013494,unsat,unsat
21853718,UDB_entl/append_sll_cll_slk-11.smt2,945701,Cyclist-SL,1136,default,1487,complete,0.006998,0.019464,unsat,unsat
21853719,UDB_entl/nll-vc09.smt2,945702,Cyclist-SL,1136,default,1487,complete,0.347946,0.359484,unsat,unsat
21853720,UDB_entl/06.tst.smt2,945703,Cyclist-SL,1136,default,1487,complete,0.022995,0.0347819,unsat,unsat
21853721,UDB_entl/lss-vc03.smt2,945704,Cyclist-SL,1136,default,1487,complete,0.048992,0.0610391,unsat,unsat
21853722,UDB_entl/append_sll_cll_slk-4.smt2,945705,Cyclist-SL,1136,default,1487,complete,0.006998,0.0108781,unsat,unsat
21853723,UDB_entl/lsegex4_slk-1.smt2,945706,Cyclist-SL,1136,default,1487,timeout (cpu),2400.01,2399.51,starexec-unknown,unsat
21853724,UDB_entl/append_sll_cll_slk-8.smt2,945707,Cyclist-SL,1136,default,1487,complete,0.007998,0.012476,unsat,unsat
21853725,UDB_entl/skl3-vc04.smt2,945708,Cyclist-SL,1136,default,1487,timeout (cpu),2400.01,2399.51,starexec-unknown,unsat
21853726,UDB_entl/nll-vc13.smt2,945709,Cyclist-SL,1136,default,1487,timeout (cpu),2400.09,2399.41,starexec-unknown,sat
21853727,UDB_entl/dll2-rev-entails-dll2.smt2,945710,Cyclist-SL,1136,default,1487,timeout (cpu),2400.06,2399.22,starexec-unknown,unsat
21853728,UDB_entl/append_dll_slk-6.smt2,945711,Cyclist-SL,1136,default,1487,complete,0.006998,0.0125361,unsat,unsat
21853729,UDB_entl/dll-mid-entails-dll-rev.smt2,945712,Cyclist-SL,1136,default,1487,timeout (cpu),2400.02,2399.41,starexec-unknown,unsat
21853730,UDB_entl/skl2-vc01.smt2,945713,Cyclist-SL,1136,default,1487,complete,0.077988,0.0821911,unsat,unsat
21853731,UDB_entl/elseg4_slk-3.smt2,945714,Cyclist-SL,1136,default,1487,complete,14.8117,14.8128,starexec-unknown,sat
21853732,UDB_entl/tll_slk-1.smt2,945715,Cyclist-SL,1136,default,1487,complete,0.006998,0.0117209,unsat,unsat
21853733,UDB_entl/tll_slk-13.smt2,945716,Cyclist-SL,1136,default,1487,timeout (cpu),2400.09,2399.61,starexec-unknown,unsat
21853734,UDB_entl/09.tst.smt2,945717,Cyclist-SL,1136,default,1487,complete,0.028995,0.032633,unsat,unsat
21853735,UDB_entl/append_dll_slk-8.smt2,945718,Cyclist-SL,1136,default,1487,complete,0.008998,0.0219541,unsat,unsat
21853736,UDB_entl/skl3-vc08.smt2,945719,Cyclist-SL,1136,default,1487,timeout (cpu),2400.07,2399.12,starexec-unknown,unsat
21853737,UDB_entl/append_sll_slk-6.smt2,945720,Cyclist-SL,1136,default,1487,complete,0.005998,0.0181841,unsat,unsat
21853738,UDB_entl/skl2-vc03.smt2,945721,Cyclist-SL,1136,default,1487,timeout (cpu),2400.09,2398.91,starexec-unknown,unsat
21853739,UDB_entl/nll-vc06.smt2,945722,Cyclist-SL,1136,default,1487,timeout (cpu),2400.03,2398.91,starexec-unknown,sat
21853740,UDB_entl/skl3-vc07.smt2,945723,Cyclist-SL,1136,default,1487,timeout (cpu),2400.09,2398.91,starexec-unknown,unsat
21853741,UDB_entl/skl3-vc03.smt2,945724,Cyclist-SL,1136,default,1487,complete,2.84857,2.86027,unsat,unsat
21853742,UDB_entl/04.tst.smt2,945725,Cyclist-SL,1136,default,1487,complete,0.022995,0.035305,unsat,unsat
21853743,UDB_entl/dll2-spaghetti-existential.smt2,945726,Cyclist-SL,1136,default,1487,timeout (cpu),2400.02,2399.31,starexec-unknown,unsat
21853744,UDB_entl/nll-vc15.smt2,945727,Cyclist-SL,1136,default,1487,timeout (cpu),2400.04,2399.12,starexec-unknown,sat
21853745,UDB_entl/11.tst.smt2,945728,Cyclist-SL,1136,default,1487,complete,0.074988,0.087045,unsat,unsat
21853746,UDB_entl/elseg4_slk-2.smt2,945729,Cyclist-SL,1136,default,1487,complete,0.008998,0.013467,unsat,unsat
21853747,UDB_entl/elseg4_slk-5.smt2,945730,Cyclist-SL,1136,default,1487,complete,0.025995,0.0304401,unsat,unsat
21853748,UDB_entl/append_sll_cll_slk-14.smt2,945731,Cyclist-SL,1136,default,1487,complete,0.006998,0.012452,unsat,unsat
21853749,UDB_entl/tll_slk-7.smt2,945732,Cyclist-SL,1136,default,1487,complete,0.006998,0.0189749,unsat,unsat
21853750,UDB_entl/dll2-entails-dll2-rev.smt2,945733,Cyclist-SL,1136,default,1487,timeout (cpu),2400.09,2399.51,starexec-unknown,unsat
21853751,UDB_entl/skl3-vc10.smt2,945734,Cyclist-SL,1136,default,1487,timeout (cpu),2400.1,2399.51,starexec-unknown,unsat
21853752,UDB_entl/nll-vc03.smt2,945735,Cyclist-SL,1136,default,1487,timeout (cpu),2400.01,2399.51,starexec-unknown,unsat
21853753,UDB_entl/append_dll_slk-10.smt2,945736,Cyclist-SL,1136,default,1487,complete,0.045992,0.058306,unsat,unsat
21853754,UDB_entl/dll-entails-dll-rev.smt2,945737,Cyclist-SL,1136,default,1487,timeout (cpu),2400.08,2398.91,starexec-unknown,unsat
21853755,UDB_entl/append_dll_slk-5.smt2,945738,Cyclist-SL,1136,default,1487,complete,0.006998,0.019402,unsat,unsat
21853756,UDB_entl/elseg4_slk-7.smt2,945739,Cyclist-SL,1136,default,1487,complete,0.077987,0.081922,unsat,unsat
21853757,UDB_entl/tll-ravioli.smt2,945740,Cyclist-SL,1136,default,1487,complete,0.005998,0.01802,unsat,unsat
21853758,UDB_entl/skl2-vc02.smt2,945741,Cyclist-SL,1136,default,1487,complete,0.827873,0.839768,unsat,unsat
21853759,UDB_entl/12.tst.smt2,945742,Cyclist-SL,1136,default,1487,complete,0.05799,0.0629581,unsat,unsat
21853760,UDB_entl/nll-vc14.smt2,945743,Cyclist-SL,1136,default,1487,timeout (cpu),2400.08,2399.12,starexec-unknown,sat
21853761,UDB_entl/14.tst.smt2,945744,Cyclist-SL,1136,default,1487,complete,0.036993,0.043167,unsat,unsat
21853762,UDB_entl/05.tst.smt2,945745,Cyclist-SL,1136,default,1487,complete,0.021996,0.027166,unsat,unsat
21853763,UDB_entl/tll-pp-entails-tll-pp-rev.smt2,945746,Cyclist-SL,1136,default,1487,timeout (cpu),2400.07,2399.22,starexec-unknown,unsat
21853764,UDB_entl/append_sll_cll_slk-10.smt2,945747,Cyclist-SL,1136,default,1487,complete,0.007998,0.0199741,unsat,unsat
21853765,UDB_entl/nll-vc07.smt2,945748,Cyclist-SL,1136,default,1487,complete,0.074988,0.079225,unsat,unsat
21853766,UDB_entl/dll-spaghetti-existential.smt2,945749,Cyclist-SL,1136,default,1487,timeout (cpu),2400.05,2399.12,starexec-unknown,unsat
21853767,UDB_entl/dll-vc10.smt2,945750,Cyclist-SL,1136,default,1487,timeout (cpu),2400.05,2399.12,starexec-unknown,unsat
21853768,UDB_entl/dll2-spaghetti.smt2,945751,Cyclist-SL,1136,default,1487,timeout (cpu),2400.01,2399.62,starexec-unknown,unsat
21853769,UDB_entl/nll-vc16.smt2,945752,Cyclist-SL,1136,default,1487,timeout (cpu),2400.06,2399.31,starexec-unknown,sat
