pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21853988,UDB_entl/odd-lseg3_slk-1.smt2,945627,SLIDE-final,1255,SLD_input,1775,complete,0.047991,0.0609609,starexec-unknown,sat
21853989,UDB_entl/dll-vc09.smt2,945628,SLIDE-final,1255,SLD_input,1775,complete,0.046991,0.070487,starexec-unknown,unsat
21853990,UDB_entl/13.tst.smt2,945629,SLIDE-final,1255,SLD_input,1775,complete,0.05799,0.0716059,unsat,unsat
21853991,UDB_entl/node-dll-rev-dll-entails-dll.smt2,945630,SLIDE-final,1255,SLD_input,1775,complete,0.05999,0.105682,unsat,unsat
21853992,UDB_entl/dll-vc13.smt2,945631,SLIDE-final,1255,SLD_input,1775,complete,0.048992,0.063318,starexec-unknown,sat
21853993,UDB_entl/tll_slk-12.smt2,945632,SLIDE-final,1255,SLD_input,1775,complete,0.047992,0.0679409,starexec-unknown,unsat
21853994,UDB_entl/skl3-vc06.smt2,945633,SLIDE-final,1255,SLD_input,1775,complete,0.048991,0.060115,starexec-unknown,unsat
21853995,UDB_entl/skl2-vc04.smt2,945634,SLIDE-final,1255,SLD_input,1775,complete,0.046992,0.058112,starexec-unknown,unsat
21853996,UDB_entl/dll-rev-entails-dll-mid.smt2,945635,SLIDE-final,1255,SLD_input,1775,complete,0.075988,0.090811,unsat,unsat
21853997,UDB_entl/elseg4_slk-9.smt2,945636,SLIDE-final,1255,SLD_input,1775,complete,0.047992,0.0654281,starexec-unknown,unsat
21853998,UDB_entl/append_sll_slk-5.smt2,945637,SLIDE-final,1255,SLD_input,1775,complete,0.046992,0.0589481,starexec-unknown,unsat
21853999,UDB_entl/elseg4_slk-4.smt2,945638,SLIDE-final,1255,SLD_input,1775,complete,0.046992,0.0635191,starexec-unknown,sat
21854000,UDB_entl/append_sll_slk-7.smt2,945639,SLIDE-final,1255,SLD_input,1775,complete,0.045992,0.0560241,starexec-unknown,unsat
21854001,UDB_entl/append_sll_slk-2.smt2,945640,SLIDE-final,1255,SLD_input,1775,complete,0.047991,0.0683231,starexec-unknown,unsat
21854002,UDB_entl/append_sll_cll_slk-16.smt2,945641,SLIDE-final,1255,SLD_input,1775,complete,0.047991,0.067266,starexec-unknown,unsat
21854003,UDB_entl/dll-entails-node-dll-rev.smt2,945642,SLIDE-final,1255,SLD_input,1775,complete,0.066989,0.107939,sat,sat
21854004,UDB_entl/append_sll_cll_slk-18.smt2,945643,SLIDE-final,1255,SLD_input,1775,complete,0.046992,0.05796,starexec-unknown,unsat
21854005,UDB_entl/21.tst.smt2,945644,SLIDE-final,1255,SLD_input,1775,complete,0.047991,0.0685371,starexec-unknown,unsat
21854006,UDB_entl/skl3-vc05.smt2,945645,SLIDE-final,1255,SLD_input,1775,complete,0.047992,0.0585311,starexec-unknown,unsat
21854007,UDB_entl/tree-pp-entails-tree-pp-rev.smt2,945646,SLIDE-final,1255,SLD_input,1775,complete,0.072988,0.088917,unsat,unsat
21854008,UDB_entl/03.tst.smt2,945647,SLIDE-final,1255,SLD_input,1775,complete,0.06199,0.07514,starexec-unknown,unsat
21854009,UDB_entl/08.tst.smt2,945648,SLIDE-final,1255,SLD_input,1775,complete,0.046992,0.0625731,starexec-unknown,unsat
21854010,UDB_entl/lsegex4_slk-3.smt2,945649,SLIDE-final,1255,SLD_input,1775,complete,0.047992,0.0584081,starexec-unknown,unsat
21854011,UDB_entl/17.tst.smt2,945650,SLIDE-final,1255,SLD_input,1775,complete,0.078987,0.0954601,unsat,unsat
21854012,UDB_entl/lsegex4_slk-6.smt2,945651,SLIDE-final,1255,SLD_input,1775,complete,0.046991,0.0563419,starexec-unknown,unsat
21854013,UDB_entl/node-node-dll-entails-dll.smt2,945652,SLIDE-final,1255,SLD_input,1775,complete,0.05999,0.0750151,unsat,unsat
21854014,UDB_entl/append_dll_slk-11.smt2,945653,SLIDE-final,1255,SLD_input,1775,complete,0.045992,0.05727,starexec-unknown,unsat
