"benchmark","benchmark id","expected","slsat","sleek"
"UDB_sat/succ-rec12.defs.smt2","945566","sat","timeout (cpu)--2400.08--starexec-unknown","complete--0.307952--sat"
"UDB_sat/abduced11.defs.smt2","945581","sat","complete--0.005998--sat","complete--0.081986--sat"
"UDB_sat/abduced05.defs.smt2","945621","sat","complete--0.005999--sat","complete--0.093985--sat"
"UDB_sat/succ-circuit08.defs.smt2","945624","sat","timeout (cpu)--2400.06--starexec-unknown","complete--0.206968--sat"
"UDB_sat/succ-rec15.defs.smt2","945605","sat","timeout (cpu)--2400.04--starexec-unknown","complete--0.631903--sat"
"UDB_sat/abduced02.defs.smt2","945570","sat","complete--0.005998--sat","complete--0.064989--sat"
"UDB_sat/succ-circuit19.defs.smt2","945577","sat","memout--534.21--starexec-unknown","complete--2.90056--sat"
"UDB_sat/abduced15.defs.smt2","945580","sat","complete--0.006998--sat","complete--0.073988--sat"
"UDB_sat/succ-circuit18.defs.smt2","945614","sat","memout--535.29--starexec-unknown","complete--1.81072--sat"
"UDB_sat/abduced14.defs.smt2","945571","sat","complete--0.005998--sat","complete--0.080987--sat"
"UDB_sat/succ-circuit13.defs.smt2","945573","sat","memout--530.2--starexec-unknown","complete--2.36964--sat"
"UDB_sat/succ-circuit07.defs.smt2","945593","sat","timeout (cpu)--2400.06--starexec-unknown","complete--0.148977--sat"
"UDB_sat/succ-circuit06.defs.smt2","945596","sat","complete--1306.04--sat","complete--0.113982--sat"
"UDB_sat/abduced18.defs.smt2","945578","sat","complete--0.005998--sat","complete--0.075987--sat"
"UDB_sat/abduced04.defs.smt2","945568","sat","complete--0.005998--sat","complete--0.073988--sat"
"UDB_sat/succ-rec14.defs.smt2","945610","sat","timeout (cpu)--2400.03--starexec-unknown","complete--0.466928--sat"
"UDB_sat/succ-rec11.defs.smt2","945575","sat","timeout (cpu)--2400.08--starexec-unknown","complete--0.231964--sat"
"UDB_sat/succ-rec03.defs.smt2","945591","sat","complete--0.010997--sat","complete--0.054991--sat"
"UDB_sat/succ-circuit14.defs.smt2","945584","sat","memout--534.96--starexec-unknown","complete--1.75773--sat"
"UDB_sat/succ-circuit11.defs.smt2","945616","sat","memout--527.96--starexec-unknown","complete--0.658899--sat"
"UDB_sat/abduced09.defs.smt2","945617","sat","complete--0.006998--sat","complete--0.087986--sat"
"UDB_sat/succ-circuit05.defs.smt2","945607","sat","complete--37.1584--sat","complete--0.081986--sat"
"UDB_sat/succ-circuit17.defs.smt2","945598","sat","memout--534.21--starexec-unknown","complete--1.70274--sat"
"UDB_sat/succ-circuit09.defs.smt2","945583","sat","timeout (cpu)--2400.01--starexec-unknown","complete--0.316951--sat"
"UDB_sat/succ-rec08.defs.smt2","945619","sat","complete--33.126--sat","complete--0.109983--sat"
"UDB_sat/succ-circuit01.defs.smt2","945582","sat","complete--0.006998--sat","complete--0.043992--sat"
"UDB_sat/inconsistent-ls-of-ls.defs.smt2","945604","unsat","complete--0.004998--unsat","complete--0.044992--unsat"
"UDB_sat/succ-circuit03.defs.smt2","945585","sat","complete--0.038993--sat","complete--0.050991--sat"
"UDB_sat/abduced17.defs.smt2","945569","sat","complete--0.005998--sat","complete--0.078987--sat"
"UDB_sat/abduced16.defs.smt2","945611","sat","complete--0.005998--sat","complete--0.074988--sat"
"UDB_sat/abduced00.defs.smt2","945618","sat","complete--0.006998--sat","complete--0.070988--sat"
"UDB_sat/succ-rec06.defs.smt2","945597","sat","complete--0.931858--sat","complete--0.071988--sat"
"UDB_sat/succ-rec07.defs.smt2","945592","sat","complete--5.66914--sat","complete--0.087985--sat"
"UDB_sat/succ-circuit16.defs.smt2","945594","sat","memout--537.44--starexec-unknown","complete--2.56961--sat"
"UDB_sat/abduced03.defs.smt2","945599","sat","complete--0.005998--sat","complete--0.079987--sat"
"UDB_sat/succ-circuit15.defs.smt2","945620","sat","memout--534.98--starexec-unknown","complete--2.51362--sat"
"UDB_sat/succ-rec05.defs.smt2","945612","sat","complete--0.153975--sat","complete--0.06299--sat"
"UDB_sat/succ-rec10.defs.smt2","945615","sat","complete--1066.15--sat","complete--0.179972--sat"
"UDB_sat/succ-rec18.defs.smt2","945609","sat","timeout (cpu)--2400.1--starexec-unknown","complete--1.06584--sat"
"UDB_sat/succ-rec04.defs.smt2","945586","sat","complete--0.032994--sat","complete--0.048991--sat"
"UDB_sat/succ-rec19.defs.smt2","945588","sat","timeout (cpu)--2400.0--starexec-unknown","complete--1.21381--sat"
"UDB_sat/succ-rec16.defs.smt2","945590","sat","timeout (cpu)--2400.02--starexec-unknown","complete--0.688895--sat"
"UDB_sat/succ-circuit04.defs.smt2","945603","sat","complete--1.03384--sat","complete--0.065989--sat"
"UDB_sat/succ-circuit20.defs.smt2","945606","sat","memout--531.1--starexec-unknown","complete--3.01554--sat"
"UDB_sat/abduced12.defs.smt2","945626","sat","complete--0.005998--sat","complete--0.084987--sat"
"UDB_sat/succ-rec17.defs.smt2","945579","sat","timeout (cpu)--2400.08--starexec-unknown","complete--0.853869--sat"
"UDB_sat/succ-circuit12.defs.smt2","945574","sat","memout--536.62--starexec-unknown","complete--0.826873--sat"
