pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21854221,UDB_sat/succ-rec12.defs.smt2,945566,sleek-06,1297,default,1834,complete,0.307952,0.312223,sat,sat
21854222,UDB_sat/succ-rec09.defs.smt2,945567,sleek-06,1297,default,1834,complete,0.162974,0.16105,sat,sat
21854223,UDB_sat/abduced04.defs.smt2,945568,sleek-06,1297,default,1834,complete,0.073988,0.0743379,sat,sat
21854224,UDB_sat/abduced17.defs.smt2,945569,sleek-06,1297,default,1834,complete,0.078987,0.0792081,sat,sat
21854225,UDB_sat/abduced02.defs.smt2,945570,sleek-06,1297,default,1834,complete,0.064989,0.0654929,sat,sat
21854226,UDB_sat/abduced14.defs.smt2,945571,sleek-06,1297,default,1834,complete,0.080987,0.0806299,sat,sat
21854227,UDB_sat/abduced10.defs.smt2,945572,sleek-06,1297,default,1834,complete,0.086986,0.094079,sat,sat
21854228,UDB_sat/succ-circuit13.defs.smt2,945573,sleek-06,1297,default,1834,complete,2.36964,2.36857,sat,sat
21854229,UDB_sat/succ-circuit12.defs.smt2,945574,sleek-06,1297,default,1834,complete,0.826873,0.827013,sat,sat
21854230,UDB_sat/succ-rec11.defs.smt2,945575,sleek-06,1297,default,1834,complete,0.231964,0.229169,sat,sat
21854231,UDB_sat/succ-rec13.defs.smt2,945576,sleek-06,1297,default,1834,complete,0.372943,0.377839,sat,sat
21854232,UDB_sat/succ-circuit19.defs.smt2,945577,sleek-06,1297,default,1834,complete,2.90056,2.90495,sat,sat
21854233,UDB_sat/abduced18.defs.smt2,945578,sleek-06,1297,default,1834,complete,0.075987,0.075389,sat,sat
21854234,UDB_sat/succ-rec17.defs.smt2,945579,sleek-06,1297,default,1834,complete,0.853869,0.854582,sat,sat
21854235,UDB_sat/abduced15.defs.smt2,945580,sleek-06,1297,default,1834,complete,0.073988,0.074144,sat,sat
21854236,UDB_sat/abduced11.defs.smt2,945581,sleek-06,1297,default,1834,complete,0.081986,0.0895349,sat,sat
21854237,UDB_sat/succ-circuit01.defs.smt2,945582,sleek-06,1297,default,1834,complete,0.043992,0.0518109,sat,sat
21854238,UDB_sat/succ-circuit09.defs.smt2,945583,sleek-06,1297,default,1834,complete,0.316951,0.322667,sat,sat
21854239,UDB_sat/succ-circuit14.defs.smt2,945584,sleek-06,1297,default,1834,complete,1.75773,1.75477,sat,sat
21854240,UDB_sat/succ-circuit03.defs.smt2,945585,sleek-06,1297,default,1834,complete,0.050991,0.05102,sat,sat
21854241,UDB_sat/succ-rec04.defs.smt2,945586,sleek-06,1297,default,1834,complete,0.048991,0.056183,sat,sat
21854242,UDB_sat/abduced07.defs.smt2,945587,sleek-06,1297,default,1834,complete,0.090985,0.0909321,sat,sat
21854243,UDB_sat/succ-rec19.defs.smt2,945588,sleek-06,1297,default,1834,complete,1.21381,1.20422,sat,sat
21854244,UDB_sat/abduced19.defs.smt2,945589,sleek-06,1297,default,1834,complete,0.080987,0.081408,sat,sat
21854245,UDB_sat/succ-rec16.defs.smt2,945590,sleek-06,1297,default,1834,complete,0.688895,0.69105,sat,sat
21854246,UDB_sat/succ-rec03.defs.smt2,945591,sleek-06,1297,default,1834,complete,0.054991,0.063561,sat,sat
21854247,UDB_sat/succ-rec07.defs.smt2,945592,sleek-06,1297,default,1834,complete,0.087985,0.0953489,sat,sat
21854248,UDB_sat/succ-circuit07.defs.smt2,945593,sleek-06,1297,default,1834,complete,0.148977,0.149251,sat,sat
21854249,UDB_sat/succ-circuit16.defs.smt2,945594,sleek-06,1297,default,1834,complete,2.56961,2.56603,sat,sat
21854250,UDB_sat/abduced06.defs.smt2,945595,sleek-06,1297,default,1834,complete,0.088986,0.0888319,sat,sat
21854251,UDB_sat/succ-circuit06.defs.smt2,945596,sleek-06,1297,default,1834,complete,0.113982,0.121705,sat,sat
