pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21852416,sll0a_entl/smallfoot-vc02.tptp.smt2,946040,Cyclist-SL,1136,default,1487,complete,0.006998,0.0144119,unsat,unsat
21852417,sll0a_entl/clones-02-e04.tptp.smt2,946041,Cyclist-SL,1136,default,1487,complete,0.005998,0.0103091,starexec-unknown,unsat
21852418,sll0a_entl/smallfoot-vc20.tptp.smt2,946042,Cyclist-SL,1136,default,1487,complete,0.006998,0.024647,unsat,unsat
21852419,sll0a_entl/clones-07-e04.tptp.smt2,946043,Cyclist-SL,1136,default,1487,complete,0.004998,0.010824,starexec-unknown,unsat
21852420,sll0a_entl/smallfoot-vc26.tptp.smt2,946044,Cyclist-SL,1136,default,1487,complete,0.006998,0.022055,unsat,unsat
21852421,sll0a_entl/clones-07-e09.tptp.smt2,946045,Cyclist-SL,1136,default,1487,timeout (cpu),2400.04,2399.12,starexec-unknown,sat
21852422,sll0a_entl/smallfoot-vc55.tptp.smt2,946046,Cyclist-SL,1136,default,1487,complete,0.007998,0.013003,unsat,unsat
21852423,sll0a_entl/clones-05-e07.tptp.smt2,946047,Cyclist-SL,1136,default,1487,timeout (cpu),2400.08,2399.12,starexec-unknown,sat
21852424,sll0a_entl/smallfoot-vc30.tptp.smt2,946048,Cyclist-SL,1136,default,1487,complete,996.124,995.724,starexec-unknown,sat
21852425,sll0a_entl/clones-05-e06.tptp.smt2,946049,Cyclist-SL,1136,default,1487,complete,0.005998,0.00898905,starexec-unknown,unsat
21852426,sll0a_entl/bolognesa-17-e03.tptp.smt2,946050,Cyclist-SL,1136,default,1487,timeout (cpu),2400.06,2399.51,starexec-unknown,sat
21852427,sll0a_entl/clones-08-e05.tptp.smt2,946051,Cyclist-SL,1136,default,1487,complete,0.006998,0.010929,unsat,unsat
21852428,sll0a_entl/bolognesa-14-e01.tptp.smt2,946052,Cyclist-SL,1136,default,1487,timeout (cpu),2400.07,2399.12,starexec-unknown,unsat
21852429,sll0a_entl/smallfoot-vc07.tptp.smt2,946053,Cyclist-SL,1136,default,1487,complete,0.005998,0.019365,unsat,unsat
21852430,sll0a_entl/smallfoot-vc57.tptp.smt2,946054,Cyclist-SL,1136,default,1487,complete,680.946,680.721,starexec-unknown,sat
21852431,sll0a_entl/smallfoot-vc54.tptp.smt2,946055,Cyclist-SL,1136,default,1487,complete,0.006998,0.0196381,starexec-unknown,sat
21852432,sll0a_entl/bolognesa-18-e08.tptp.smt2,946056,Cyclist-SL,1136,default,1487,timeout (cpu),2400.09,2398.91,starexec-unknown,sat
21852433,sll0a_entl/clones-10-e03.tptp.smt2,946057,Cyclist-SL,1136,default,1487,complete,0.004998,0.0183501,starexec-unknown,unsat
21852434,sll0a_entl/clones-10-e09.tptp.smt2,946058,Cyclist-SL,1136,default,1487,timeout (cpu),2400.03,2399.12,starexec-unknown,sat
21852435,sll0a_entl/clones-10-e07.tptp.smt2,946059,Cyclist-SL,1136,default,1487,timeout (cpu),2400.09,2399.61,starexec-unknown,sat
