"benchmark","benchmark id","expected","asterix","cyclist","sleek","spen"
"sll0a_entl/clones-09-e06.tptp.smt2","946164","unsat","complete--0.008998--unsat","complete--0.005998--starexec-unknown","complete--0.042992--unsat","complete--0.010997--unsat"
"sll0a_entl/bolognesa-11-e07.tptp.smt2","946097","unsat","complete--0.010997--unsat","timeout (cpu)--2400.09--starexec-unknown","complete--0.046992--unsat","complete--0.018996--unsat"
"sll0a_entl/smallfoot-vc03.tptp.smt2","946098","unsat","complete--0.008997--unsat","complete--0.004998--starexec-unknown","complete--0.043993--unsat","complete--0.010997--unsat"
"sll0a_entl/ls-vc01.smt2","946088","sat","complete--0.009998--sat","complete--1.40879--starexec-unknown","complete--0.05899--sat","complete--0.010998--sat"
"sll0a_entl/bolognesa-14-e10.tptp.smt2","946008","sat","complete--0.013997--sat","timeout (cpu)--2400.08--starexec-unknown","complete--0.047992--sat","complete--0.037994--sat"
"sll0a_entl/clones-01-e06.tptp.smt2","946208","unsat","complete--0.008997--unsat","complete--0.004998--starexec-unknown","complete--0.046992--unsat","complete--0.010997--unsat"
"sll0a_entl/smallfoot-vc71.tptp.smt2","946167","unsat","complete--0.009998--unsat","complete--0.006998--unsat","complete--0.086985--unsat","complete--0.011997--unsat"
"sll0a_entl/clones-10-e08.tptp.smt2","945999","sat","complete--0.015996--sat","timeout (cpu)--2400.03--starexec-unknown","complete--0.068988--sat","complete--0.19397--sat"
"sll0a_entl/ls-vc03.smt2","946126","sat","complete--0.010997--sat","timeout (cpu)--2400.1--starexec-unknown","complete--0.18897--sat","complete--0.013997--sat"
"sll0a_entl/clones-09-e05.tptp.smt2","946020","unsat","complete--0.009997--unsat","complete--0.006998--unsat","complete--0.05999--unsat","complete--0.023995--unsat"
"sll0a_entl/smallfoot-vc11.tptp.smt2","946094","unsat","complete--0.008997--unsat","complete--0.005998--unsat","complete--0.056991--unsat","complete--0.010997--unsat"
"sll0a_entl/smallfoot-vc28.tptp.smt2","946100","unsat","complete--0.009998--unsat","complete--0.035994--unsat","complete--0.047992--unsat","complete--0.011997--unsat"
"sll0a_entl/smallfoot-vc10.tptp.smt2","946198","unsat","complete--0.008998--unsat","complete--0.007998--unsat","complete--0.063989--unsat","complete--0.011997--unsat"
"sll0a_entl/bolognesa-18-e04.tptp.smt2","946156","sat","complete--0.013997--sat","timeout (cpu)--2400.1--starexec-unknown","complete--0.048991--sat","complete--0.047992--sat"
"sll0a_entl/smallfoot-vc51.tptp.smt2","946236","unsat","complete--0.012997--unsat","complete--0.005998--unsat","complete--0.050991--unsat","complete--0.011998--unsat"
