pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21853440,sll0a_sat/spaguetti-13-e07.tptp.smt2,945815,sleek-06,1297,default,1834,complete,0.049992,0.0505209,unsat,unsat
21853441,sll0a_sat/spaguetti-20-e08.tptp.smt2,945816,sleek-06,1297,default,1834,complete,0.048992,0.0553809,sat,sat
21853442,sll0a_sat/spaguetti-13-e05.tptp.smt2,945817,sleek-06,1297,default,1834,complete,0.049991,0.0507021,unsat,unsat
21853443,sll0a_sat/spaguetti-10-e02.tptp.smt2,945818,sleek-06,1297,default,1834,complete,0.048992,0.0569549,sat,sat
21853444,sll0a_sat/spaguetti-17-e09.tptp.smt2,945819,sleek-06,1297,default,1834,complete,0.046991,0.054676,sat,sat
21853445,sll0a_sat/spaguetti-17-e01.tptp.smt2,945820,sleek-06,1297,default,1834,complete,0.047992,0.04846,sat,sat
21853446,sll0a_sat/spaguetti-15-e09.tptp.smt2,945821,sleek-06,1297,default,1834,complete,0.047992,0.05704,unsat,unsat
21853447,sll0a_sat/spaguetti-10-e09.tptp.smt2,945822,sleek-06,1297,default,1834,complete,0.045992,0.0492631,unsat,unsat
21853448,sll0a_sat/spaguetti-14-e02.tptp.smt2,945823,sleek-06,1297,default,1834,complete,0.048991,0.0566311,unsat,unsat
21853449,sll0a_sat/spaguetti-13-e08.tptp.smt2,945824,sleek-06,1297,default,1834,complete,0.049992,0.0599269,sat,sat
21853450,sll0a_sat/spaguetti-12-e06.tptp.smt2,945825,sleek-06,1297,default,1834,complete,0.046992,0.051851,unsat,unsat
21853451,sll0a_sat/spaguetti-14-e03.tptp.smt2,945826,sleek-06,1297,default,1834,complete,0.047991,0.0485969,unsat,unsat
21853452,sll0a_sat/spaguetti-10-e10.tptp.smt2,945827,sleek-06,1297,default,1834,complete,0.044992,0.053207,sat,sat
21853453,sll0a_sat/spaguetti-12-e03.tptp.smt2,945828,sleek-06,1297,default,1834,complete,0.044992,0.053072,unsat,unsat
21853454,sll0a_sat/spaguetti-16-e01.tptp.smt2,945829,sleek-06,1297,default,1834,complete,0.047991,0.055431,unsat,unsat
21853455,sll0a_sat/spaguetti-19-e06.tptp.smt2,945830,sleek-06,1297,default,1834,complete,0.047992,0.0487871,sat,sat
21853456,sll0a_sat/spaguetti-16-e09.tptp.smt2,945831,sleek-06,1297,default,1834,complete,0.046991,0.055646,sat,sat
21853457,sll0a_sat/spaguetti-19-e04.tptp.smt2,945832,sleek-06,1297,default,1834,complete,0.049991,0.0570111,unsat,unsat
21853458,sll0a_sat/spaguetti-16-e06.tptp.smt2,945833,sleek-06,1297,default,1834,complete,0.046991,0.0476309,sat,sat
21853459,sll0a_sat/spaguetti-11-e01.tptp.smt2,945834,sleek-06,1297,default,1834,complete,0.046992,0.054393,unsat,unsat
21853460,sll0a_sat/spaguetti-20-e06.tptp.smt2,945835,sleek-06,1297,default,1834,complete,0.050991,0.059608,unsat,unsat
