"benchmark","benchmark id","expected","asterix","sleek","slsat","spen"
"sll0a_sat/spaguetti-20-e10.tptp.smt2","945882","unsat","complete--0.010997--unsat","complete--0.048992--unsat","complete--19.971--unsat","complete--0.040993--unsat"
"sll0a_sat/spaguetti-16-e08.tptp.smt2","945887","unsat","complete--0.009997--unsat","complete--0.049992--unsat","complete--8.49771--unsat","complete--0.024995--unsat"
"sll0a_sat/spaguetti-14-e10.tptp.smt2","945840","unsat","complete--0.010997--unsat","complete--0.049991--unsat","complete--0.621904--unsat","complete--0.016997--unsat"
"sll0a_sat/spaguetti-15-e10.tptp.smt2","945807","sat","complete--0.009998--sat","complete--0.045992--sat","complete--0.284955--sat","complete--0.025995--sat"
"sll0a_sat/spaguetti-19-e10.tptp.smt2","945896","unsat","complete--0.012997--unsat","complete--0.050991--unsat","complete--230.364--unsat","complete--0.05599--unsat"
"sll0a_sat/spaguetti-16-e06.tptp.smt2","945833","sat","complete--0.009998--sat","complete--0.046991--sat","complete--0.169973--sat","complete--0.034994--sat"
"sll0a_sat/spaguetti-10-e04.tptp.smt2","945859","unsat","complete--0.011998--unsat","complete--0.045992--unsat","complete--0.25396--unsat","complete--0.007998--unsat"
"sll0a_sat/spaguetti-10-e10.tptp.smt2","945827","sat","complete--0.008998--sat","complete--0.044992--sat","complete--0.010997--sat","complete--0.010997--sat"
"sll0a_sat/spaguetti-14-e03.tptp.smt2","945826","unsat","complete--0.009998--unsat","complete--0.047991--unsat","complete--0.596908--unsat","complete--0.016997--unsat"
"sll0a_sat/spaguetti-16-e03.tptp.smt2","945844","sat","complete--0.009998--sat","complete--0.047992--sat","complete--0.077987--sat","complete--0.030994--sat"
"sll0a_sat/spaguetti-19-e05.tptp.smt2","945812","sat","complete--0.011997--sat","complete--0.051991--sat","complete--939.395--sat","complete--0.12498--sat"
"sll0a_sat/spaguetti-12-e09.tptp.smt2","945800","sat","complete--0.009997--sat","complete--0.044992--sat","complete--0.005998--sat","complete--0.011997--sat"
"sll0a_sat/spaguetti-13-e03.tptp.smt2","945861","unsat","complete--0.010997--unsat","complete--0.049992--unsat","complete--0.534917--unsat","complete--0.015997--unsat"
"sll0a_sat/spaguetti-20-e05.tptp.smt2","945877","unsat","complete--0.009997--unsat","complete--0.051991--unsat","complete--23.0645--unsat","complete--0.044993--unsat"
"sll0a_sat/spaguetti-17-e07.tptp.smt2","945899","unsat","complete--0.009997--unsat","complete--0.046992--unsat","complete--1.75073--unsat","complete--0.025995--unsat"
"sll0a_sat/spaguetti-11-e01.tptp.smt2","945834","unsat","complete--0.009998--unsat","complete--0.046992--unsat","complete--0.050992--unsat","complete--0.007998--unsat"
"sll0a_sat/spaguetti-12-e05.tptp.smt2","945811","sat","complete--0.009998--sat","complete--0.047992--sat","complete--0.026995--sat","complete--0.014997--sat"
"sll0a_sat/spaguetti-14-e09.tptp.smt2","945856","unsat","complete--0.009998--unsat","complete--0.045992--unsat","complete--3.2565--unsat","complete--0.021996--unsat"
"sll0a_sat/spaguetti-10-e01.tptp.smt2","945799","unsat","complete--0.009998--unsat","complete--0.047992--unsat","complete--0.029994--unsat","complete--0.008998--unsat"
"sll0a_sat/spaguetti-18-e08.tptp.smt2","945881","unsat","complete--0.009997--unsat","complete--0.05299--unsat","complete--55.1896--unsat","complete--0.042993--unsat"
"sll0a_sat/spaguetti-10-e03.tptp.smt2","945902","unsat","complete--0.010997--unsat","complete--0.045992--unsat","complete--0.054991--unsat","complete--0.008998--unsat"
"sll0a_sat/spaguetti-12-e10.tptp.smt2","945862","sat","complete--0.009998--sat","complete--0.049992--sat","complete--0.030994--sat","complete--0.013997--sat"
"sll0a_sat/spaguetti-11-e10.tptp.smt2","945908","sat","complete--0.010997--sat","complete--0.044993--sat","complete--0.111982--sat","complete--0.017997--sat"
"sll0a_sat/spaguetti-12-e06.tptp.smt2","945825","unsat","complete--0.009998--unsat","complete--0.046992--unsat","complete--0.561913--unsat","complete--0.016997--unsat"
"sll0a_sat/spaguetti-16-e10.tptp.smt2","945837","sat","complete--0.009997--sat","complete--0.052991--sat","complete--0.377941--sat","complete--0.035993--sat"
"sll0a_sat/spaguetti-16-e02.tptp.smt2","945885","unsat","complete--0.009998--unsat","complete--0.048991--unsat","complete--0.695893--unsat","complete--0.017996--unsat"
"sll0a_sat/spaguetti-18-e03.tptp.smt2","945848","sat","complete--0.009997--sat","complete--0.047992--sat","complete--0.015996--sat","complete--0.023995--sat"
"sll0a_sat/spaguetti-19-e07.tptp.smt2","945852","unsat","complete--0.010998--unsat","complete--0.047992--unsat","complete--8.48135--unsat","complete--0.033994--unsat"
"sll0a_sat/spaguetti-16-e04.tptp.smt2","945874","sat","complete--0.010997--sat","complete--0.048991--sat","complete--1.83272--sat","complete--0.042993--sat"
"sll0a_sat/spaguetti-19-e02.tptp.smt2","945904","sat","complete--0.010997--sat","complete--0.051991--sat","complete--46.262--sat","complete--0.094984--sat"
"sll0a_sat/spaguetti-15-e08.tptp.smt2","945880","unsat","complete--0.009997--unsat","complete--0.048991--unsat","complete--3.64245--unsat","complete--0.021995--unsat"
"sll0a_sat/spaguetti-12-e08.tptp.smt2","945901","sat","complete--0.009997--sat","complete--0.045992--sat","complete--0.25196--sat","complete--0.019996--sat"
"sll0a_sat/spaguetti-11-e06.tptp.smt2","945813","sat","complete--0.009997--sat","complete--0.049991--sat","complete--1.14682--sat","complete--0.021995--sat"
"sll0a_sat/spaguetti-11-e08.tptp.smt2","945855","sat","complete--0.009998--sat","complete--0.044992--sat","complete--0.008998--sat","complete--0.009998--sat"
"sll0a_sat/spaguetti-16-e05.tptp.smt2","945841","unsat","complete--0.009998--unsat","complete--0.055991--unsat","complete--0.080987--unsat","complete--0.012997--unsat"
"sll0a_sat/spaguetti-17-e04.tptp.smt2","945906","sat","complete--0.009997--sat","complete--0.048992--sat","complete--0.005998--sat","complete--0.035994--sat"
"sll0a_sat/spaguetti-11-e05.tptp.smt2","945802","sat","complete--0.009997--sat","complete--0.047991--sat","complete--0.025995--sat","complete--0.014997--sat"
"sll0a_sat/spaguetti-13-e02.tptp.smt2","945810","sat","complete--0.008998--sat","complete--0.044992--sat","complete--0.016996--sat","complete--0.016997--sat"
"sll0a_sat/spaguetti-13-e01.tptp.smt2","945869","unsat","complete--0.009997--unsat","complete--0.048991--unsat","complete--0.642901--unsat","complete--0.015997--unsat"
"sll0a_sat/spaguetti-20-e07.tptp.smt2","945803","sat","complete--0.010997--sat","complete--0.048992--sat","complete--2.15967--sat","complete--0.05999--sat"
"sll0a_sat/spaguetti-20-e08.tptp.smt2","945816","sat","complete--0.009997--sat","complete--0.048992--sat","complete--3.74243--sat","complete--0.085986--sat"
"sll0a_sat/spaguetti-10-e07.tptp.smt2","945897","sat","complete--0.008997--sat","complete--0.05499--sat","complete--0.047991--sat","complete--0.010997--sat"
"sll0a_sat/spaguetti-11-e09.tptp.smt2","945851","unsat","complete--0.009997--unsat","complete--0.045992--unsat","complete--1.21581--unsat","complete--0.013997--unsat"
"sll0a_sat/spaguetti-16-e07.tptp.smt2","945868","unsat","complete--0.009997--unsat","complete--0.048992--unsat","complete--1.9917--unsat","complete--0.024996--unsat"
"sll0a_sat/spaguetti-18-e05.tptp.smt2","945903","sat","complete--0.010998--sat","complete--0.053991--sat","complete--1.06784--sat","complete--0.050991--sat"
"sll0a_sat/spaguetti-12-e04.tptp.smt2","945864","unsat","complete--0.009998--unsat","complete--0.044993--unsat","complete--1.16682--unsat","complete--0.015997--unsat"
"sll0a_sat/spaguetti-20-e06.tptp.smt2","945835","unsat","complete--0.011997--unsat","complete--0.050991--unsat","complete--212.669--unsat","complete--0.064989--unsat"
"sll0a_sat/spaguetti-17-e08.tptp.smt2","945860","unsat","complete--0.010997--unsat","complete--0.050991--unsat","complete--41.4577--unsat","complete--0.033993--unsat"
"sll0a_sat/spaguetti-11-e07.tptp.smt2","945849","unsat","complete--0.009998--unsat","complete--0.044992--unsat","complete--0.246961--unsat","complete--0.009998--unsat"
"sll0a_sat/spaguetti-13-e10.tptp.smt2","945907","sat","complete--0.011997--sat","complete--0.047992--sat","complete--0.005998--sat","complete--0.015997--sat"
"sll0a_sat/spaguetti-12-e07.tptp.smt2","945853","unsat","complete--0.009997--unsat","complete--0.045992--unsat","complete--0.511921--unsat","complete--0.013997--unsat"
"sll0a_sat/spaguetti-17-e03.tptp.smt2","945893","unsat","complete--0.010997--unsat","complete--0.049991--unsat","complete--8.38172--unsat","complete--0.035993--unsat"
"sll0a_sat/spaguetti-14-e08.tptp.smt2","945876","unsat","complete--0.010997--unsat","complete--0.048992--unsat","complete--342.863--unsat","complete--0.036993--unsat"
"sll0a_sat/spaguetti-15-e01.tptp.smt2","945886","sat","complete--0.010997--sat","complete--0.046992--sat","complete--0.6509--sat","complete--0.035993--sat"
"sll0a_sat/spaguetti-19-e04.tptp.smt2","945832","unsat","complete--0.009997--unsat","complete--0.049991--unsat","complete--4.28435--unsat","complete--0.033994--unsat"
"sll0a_sat/spaguetti-15-e06.tptp.smt2","945804","sat","complete--0.009997--sat","complete--0.047991--sat","complete--0.146977--sat","complete--0.028995--sat"
"sll0a_sat/spaguetti-12-e03.tptp.smt2","945828","unsat","complete--0.009998--unsat","complete--0.044992--unsat","complete--0.212966--unsat","complete--0.011997--unsat"
"sll0a_sat/spaguetti-15-e03.tptp.smt2","945871","sat","complete--0.009998--sat","complete--0.049991--sat","complete--0.354945--sat","complete--0.031994--sat"
"sll0a_sat/spaguetti-17-e05.tptp.smt2","945872","sat","complete--0.010997--sat","complete--0.045992--sat","complete--7.48886--sat","complete--0.063989--sat"
"sll0a_sat/spaguetti-13-e07.tptp.smt2","945815","unsat","complete--0.011997--unsat","complete--0.049992--unsat","complete--1527.96--unsat","complete--0.036993--unsat"
"sll0a_sat/spaguetti-17-e06.tptp.smt2","945839","unsat","complete--0.011998--unsat","complete--0.049992--unsat","complete--17.8923--unsat","complete--0.034994--unsat"
"sll0a_sat/spaguetti-19-e06.tptp.smt2","945830","sat","complete--0.010997--sat","complete--0.047992--sat","complete--0.207967--sat","complete--0.047992--sat"
"sll0a_sat/spaguetti-20-e03.tptp.smt2","945850","sat","complete--0.010997--sat","complete--0.050991--sat","complete--10.4484--sat","complete--0.091985--sat"
"sll0a_sat/spaguetti-14-e06.tptp.smt2","945892","unsat","complete--0.009997--unsat","complete--0.045992--unsat","complete--0.276957--unsat","complete--0.013997--unsat"
