pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21853314,sll0a_sat/spaguetti-10-e01.tptp.smt2,945799,SLSAT,1137,quiet,1901,complete,0.029994,0.0414051,unsat,unsat
21853315,sll0a_sat/spaguetti-12-e09.tptp.smt2,945800,SLSAT,1137,quiet,1901,complete,0.005998,0.0134711,sat,sat
21853316,sll0a_sat/spaguetti-10-e05.tptp.smt2,945801,SLSAT,1137,quiet,1901,complete,0.029994,0.0340271,sat,sat
21853317,sll0a_sat/spaguetti-11-e05.tptp.smt2,945802,SLSAT,1137,quiet,1901,complete,0.025995,0.0304771,sat,sat
21853318,sll0a_sat/spaguetti-20-e07.tptp.smt2,945803,SLSAT,1137,quiet,1901,complete,2.15967,2.16659,sat,sat
21853319,sll0a_sat/spaguetti-15-e06.tptp.smt2,945804,SLSAT,1137,quiet,1901,complete,0.146977,0.159411,sat,sat
21853320,sll0a_sat/spaguetti-20-e04.tptp.smt2,945805,SLSAT,1137,quiet,1901,complete,8.14876,8.15826,sat,sat
21853321,sll0a_sat/spaguetti-11-e02.tptp.smt2,945806,SLSAT,1137,quiet,1901,complete,0.007998,0.0128361,sat,sat
21853322,sll0a_sat/spaguetti-15-e10.tptp.smt2,945807,SLSAT,1137,quiet,1901,complete,0.284955,0.288489,sat,sat
21853323,sll0a_sat/spaguetti-20-e01.tptp.smt2,945808,SLSAT,1137,quiet,1901,complete,4.16137,4.17697,unsat,unsat
21853324,sll0a_sat/spaguetti-19-e08.tptp.smt2,945809,SLSAT,1137,quiet,1901,complete,0.045992,0.048748,sat,sat
21853325,sll0a_sat/spaguetti-13-e02.tptp.smt2,945810,SLSAT,1137,quiet,1901,complete,0.016996,0.0209639,sat,sat
21853326,sll0a_sat/spaguetti-12-e05.tptp.smt2,945811,SLSAT,1137,quiet,1901,complete,0.026995,0.0379589,sat,sat
21853327,sll0a_sat/spaguetti-19-e05.tptp.smt2,945812,SLSAT,1137,quiet,1901,complete,939.395,938.934,sat,sat
21853328,sll0a_sat/spaguetti-11-e06.tptp.smt2,945813,SLSAT,1137,quiet,1901,complete,1.14682,1.14989,sat,sat
21853329,sll0a_sat/spaguetti-15-e04.tptp.smt2,945814,SLSAT,1137,quiet,1901,complete,0.031994,0.0427409,sat,sat
21853330,sll0a_sat/spaguetti-13-e07.tptp.smt2,945815,SLSAT,1137,quiet,1901,complete,1527.96,1527.36,unsat,unsat
