pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21852160,sll0a_entl/clones-03-e04.tptp.smt2,946076,Asterix-cpp,986,default.sh,1233,complete,0.008997,0.0177381,unsat,unsat
21852161,sll0a_entl/smallfoot-vc49.tptp.smt2,946077,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0113631,sat,sat
21852162,sll0a_entl/smallfoot-vc31.tptp.smt2,946078,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0197349,sat,sat
21852163,sll0a_entl/smallfoot-vc41.tptp.smt2,946079,Asterix-cpp,986,default.sh,1233,complete,0.008997,0.010479,unsat,unsat
21852164,sll0a_entl/clones-08-e08.tptp.smt2,946080,Asterix-cpp,986,default.sh,1233,complete,0.014997,0.016628,sat,sat
21852165,sll0a_entl/bolognesa-10-e03.tptp.smt2,946081,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.0135171,unsat,unsat
21852166,sll0a_entl/bolognesa-17-e08.tptp.smt2,946082,Asterix-cpp,986,default.sh,1233,complete,0.014997,0.023913,sat,sat
21852167,sll0a_entl/smallfoot-vc24.tptp.smt2,946083,Asterix-cpp,986,default.sh,1233,complete,0.008997,0.010928,unsat,unsat
21852168,sll0a_entl/clones-03-e09.tptp.smt2,946084,Asterix-cpp,986,default.sh,1233,complete,0.010998,0.013298,sat,sat
21852169,sll0a_entl/smallfoot-vc52.tptp.smt2,946085,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0196369,unsat,unsat
21852170,sll0a_entl/bolognesa-15-e08.tptp.smt2,946086,Asterix-cpp,986,default.sh,1233,complete,0.012997,0.0232729,sat,sat
21852171,sll0a_entl/bolognesa-19-e09.tptp.smt2,946087,Asterix-cpp,986,default.sh,1233,complete,0.013997,0.015732,sat,sat
21852172,sll0a_entl/ls-vc01.smt2,946088,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0196741,sat,sat
21852173,sll0a_entl/bolognesa-11-e09.tptp.smt2,946089,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.02362,unsat,unsat
21852174,sll0a_entl/smallfoot-vc23.tptp.smt2,946090,Asterix-cpp,986,default.sh,1233,complete,0.008997,0.011021,sat,sat
21852175,sll0a_entl/bolognesa-17-e06.tptp.smt2,946091,Asterix-cpp,986,default.sh,1233,complete,0.015997,0.0171651,unsat,unsat
21852176,sll0a_entl/clones-08-e02.tptp.smt2,946092,Asterix-cpp,986,default.sh,1233,complete,0.008997,0.0178661,unsat,unsat
21852177,sll0a_entl/bolognesa-13-e03.tptp.smt2,946093,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0125541,unsat,unsat
21852178,sll0a_entl/smallfoot-vc11.tptp.smt2,946094,Asterix-cpp,986,default.sh,1233,complete,0.008997,0.010482,unsat,unsat
21852179,sll0a_entl/clones-03-e10.tptp.smt2,946095,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0187619,sat,sat
21852180,sll0a_entl/bolognesa-14-e02.tptp.smt2,946096,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.0214111,unsat,unsat
21852181,sll0a_entl/bolognesa-11-e07.tptp.smt2,946097,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.011961,unsat,unsat
