"benchmark","benchmark id","expected","asterix","cyclist","sleek","spen"
"sll0a_entl/clones-09-e06.tptp.smt2","946164","unsat","0.008998","0.005998","0.042992","0.010997"
"sll0a_entl/bolognesa-11-e07.tptp.smt2","946097","unsat","0.010997","2400.09","0.046992","0.018996"
"sll0a_entl/smallfoot-vc03.tptp.smt2","946098","unsat","0.008997","0.004998","0.043993","0.010997"
"sll0a_entl/ls-vc01.smt2","946088","sat","0.009998","1.40879","0.05899","0.010998"
"sll0a_entl/bolognesa-14-e10.tptp.smt2","946008","sat","0.013997","2400.08","0.047992","0.037994"
"sll0a_entl/clones-01-e06.tptp.smt2","946208","unsat","0.008997","0.004998","0.046992","0.010997"
"sll0a_entl/smallfoot-vc71.tptp.smt2","946167","unsat","0.009998","0.006998","0.086985","0.011997"
"sll0a_entl/clones-10-e08.tptp.smt2","945999","sat","0.015996","2400.03","0.068988","0.19397"
"sll0a_entl/ls-vc03.smt2","946126","sat","0.010997","2400.1","0.18897","0.013997"
"sll0a_entl/clones-09-e05.tptp.smt2","946020","unsat","0.009997","0.006998","0.05999","0.023995"
"sll0a_entl/smallfoot-vc11.tptp.smt2","946094","unsat","0.008997","0.005998","0.056991","0.010997"
"sll0a_entl/smallfoot-vc28.tptp.smt2","946100","unsat","0.009998","0.035994","0.047992","0.011997"
"sll0a_entl/smallfoot-vc10.tptp.smt2","946198","unsat","0.008998","0.007998","0.063989","0.011997"
"sll0a_entl/bolognesa-18-e04.tptp.smt2","946156","sat","0.013997","2400.1","0.048991","0.047992"
"sll0a_entl/smallfoot-vc51.tptp.smt2","946236","unsat","0.012997","0.005998","0.050991","0.011998"
"sll0a_entl/smallfoot-vc47.tptp.smt2","946134","unsat","0.008998","0.005998","0.044992","0.010998"
"sll0a_entl/bolognesa-15-e01.tptp.smt2","946106","unsat","0.013997","2400.05","0.047992","0.025995"
"sll0a_entl/clones-08-e07.tptp.smt2","945959","sat","0.011997","2400.0","0.052991","0.051991"
"sll0a_entl/smallfoot-vc70.tptp.smt2","945987","sat","0.009998","2400.08","0.141977","0.011997"
"sll0a_entl/smallfoot-vc63.tptp.smt2","945991","unsat","0.009998","0.006998","0.045992","0.010997"
"sll0a_entl/smallfoot-vc08.tptp.smt2","946075","unsat","0.008998","0.006998","0.046992","0.010997"
"sll0a_entl/bolognesa-20-e10.tptp.smt2","946223","unsat","0.012997","2400.07","0.048992","0.052991"
"sll0a_entl/clones-09-e04.tptp.smt2","946063","unsat","0.009997","0.004998","0.044993","0.010997"
"sll0a_entl/bolognesa-14-e01.tptp.smt2","946052","unsat","0.010997","2400.07","0.052991","0.018996"
"sll0a_entl/bolognesa-13-e07.tptp.smt2","945997","unsat","0.011997","2400.05","0.046992","0.032994"
"sll0a_entl/smallfoot-vc22.tptp.smt2","946022","sat","0.009997","0.009998","0.046992","0.009998"
"sll0a_entl/clones-05-e08.tptp.smt2","946214","sat","0.011997","2400.01","0.050991","0.026995"
"sll0a_entl/clones-03-e07.tptp.smt2","946218","sat","0.009997","2400.02","0.044992","0.011997"
"sll0a_entl/bolognesa-17-e09.tptp.smt2","946131","unsat","0.011997","2400.04","0.050991","0.05999"
"sll0a_entl/smallfoot-vc53.tptp.smt2","946023","unsat","0.010997","0.005998","0.046991","0.011997"
"sll0a_entl/bolognesa-17-e08.tptp.smt2","946082","sat","0.014997","2400.09","0.050991","0.039993"
"sll0a_entl/clones-04-e04.tptp.smt2","945992","unsat","0.008998","0.005998","0.045992","0.010998"
"sll0a_entl/bolognesa-18-e03.tptp.smt2","946029","sat","0.017997","2400.08","0.051991","0.076988"
"sll0a_entl/bolognesa-19-e03.tptp.smt2","946201","sat","0.014997","2400.1","0.050991","0.05999"
"sll0a_entl/bolognesa-19-e02.tptp.smt2","946163","sat","0.013997","2400.04","0.049991","0.067989"
"sll0a_entl/clones-03-e10.tptp.smt2","946095","sat","0.009997","2400.06","0.047991","0.011997"
"sll0a_entl/clones-04-e08.tptp.smt2","946000","sat","0.011998","2400.05","0.048991","0.017996"
"sll0a_entl/bolognesa-16-e04.tptp.smt2","945960","sat","0.013997","2400.07","0.046992","0.037993"
"sll0a_entl/bolognesa-19-e05.tptp.smt2","946016","unsat","0.012997","2400.01","0.048992","0.044992"
"sll0a_entl/ls-vc04.smt2","946105","sat","0.009997","0.225965","0.050991","0.011997"
"sll0a_entl/clones-07-e10.tptp.smt2","946193","sat","0.011997","2400.09","0.049992","0.032994"
"sll0a_entl/bolognesa-13-e06.tptp.smt2","945954","sat","0.013997","2400.02","0.047992","0.022996"
"sll0a_entl/bolognesa-14-e02.tptp.smt2","946096","unsat","0.011997","2400.01","0.047992","0.021995"
"sll0a_entl/clones-08-e08.tptp.smt2","946080","sat","0.014997","2400.06","0.05999","0.092985"
"sll0a_entl/smallfoot-vc07.tptp.smt2","946053","unsat","0.008997","0.005998","0.048992","0.010998"
"sll0a_entl/bolognesa-10-e08.tptp.smt2","946125","sat","0.011997","2400.04","0.046992","0.015996"
"sll0a_entl/bolognesa-18-e10.tptp.smt2","946139","unsat","0.011997","2400.09","0.049991","0.048992"
"sll0a_entl/bolognesa-11-e10.tptp.smt2","946122","sat","0.011997","2400.1","0.046992","0.020996"
"sll0a_entl/bolognesa-12-e08.tptp.smt2","946110","unsat","0.010997","2400.1","0.045992","0.024995"
"sll0a_entl/bolognesa-20-e06.tptp.smt2","945957","unsat","0.013997","2400.02","0.05299","0.070988"
"sll0a_entl/bolognesa-11-e08.tptp.smt2","946180","unsat","0.010998","2400.07","0.043992","0.018996"
"sll0a_entl/clones-01-e01.tptp.smt2","945958","unsat","0.008998","0.004998","0.048991","0.009997"
"sll0a_entl/clones-07-e05.tptp.smt2","946130","unsat","0.009998","0.006998","0.05599","0.016997"
"sll0a_entl/smallfoot-vc59.tptp.smt2","946215","unsat","0.008997","0.008997","0.046992","0.011997"
"sll0a_entl/smallfoot-vc09.tptp.smt2","946037","unsat","0.008998","0.006998","0.046991","0.011997"
"sll0a_entl/clones-02-e05.tptp.smt2","946189","unsat","0.009997","0.006998","0.050991","0.009998"
"sll0a_entl/bolognesa-18-e02.tptp.smt2","946202","sat","0.013997","2400.07","0.050991","0.046992"
"sll0a_entl/clones-09-e10.tptp.smt2","946011","sat","0.011997","2400.1","0.049991","0.067989"
"sll0a_entl/smallfoot-vc67.tptp.smt2","946060","unsat","0.009998","0.007998","0.046992","0.011998"
"sll0a_entl/bolognesa-20-e04.tptp.smt2","946113","sat","0.015996","2400.09","0.048991","0.047992"
"sll0a_entl/smallfoot-vc29.tptp.smt2","946004","sat","0.008998","2.86256","0.050991","0.009998"
"sll0a_entl/bolognesa-19-e08.tptp.smt2","945952","unsat","0.013997","2400.08","0.049992","0.069988"
"sll0a_entl/bolognesa-17-e06.tptp.smt2","946091","unsat","0.015997","2400.03","0.050991","0.052991"
"sll0a_entl/clones-06-e02.tptp.smt2","946010","unsat","0.008997","0.004998","0.048992","0.013996"
"sll0a_entl/clones-05-e01.tptp.smt2","946066","unsat","0.008998","0.005998","0.048992","0.010998"
"sll0a_entl/clones-08-e09.tptp.smt2","946133","sat","0.011997","2400.02","0.051991","0.080987"
"sll0a_entl/clones-01-e10.tptp.smt2","946019","sat","0.008998","2.86856","0.05299","0.010997"
"sll0a_entl/bolognesa-20-e03.tptp.smt2","946203","sat","0.014997","2400.02","0.051991","0.050992"
"sll0a_entl/smallfoot-vc04.tptp.smt2","945979","unsat","0.008997","0.006998","0.046992","0.010997"
"sll0a_entl/bolognesa-15-e09.tptp.smt2","946168","sat","0.014997","2400.03","0.047992","0.072988"
"sll0a_entl/clones-09-e07.tptp.smt2","946165","sat","0.011997","2400.01","0.050991","0.069988"
"sll0a_entl/smallfoot-vc19.tptp.smt2","946062","unsat","0.008997","0.004998","0.044992","0.010997"
"sll0a_entl/bolognesa-14-e08.tptp.smt2","946169","unsat","0.012997","2400.1","0.047992","0.031995"
"sll0a_entl/smallfoot-vc74.tptp.smt2","946069","unsat","0.009997","0.008998","0.045992","0.011997"
"sll0a_entl/bolognesa-12-e04.tptp.smt2","946149","sat","0.011997","2400.09","0.047992","0.025995"
"sll0a_entl/smallfoot-vc77.tptp.smt2","946129","unsat","0.009998","0.006998","0.05899","0.010998"
"sll0a_entl/smallfoot-vc37.tptp.smt2","946226","sat","0.009998","13.22","0.157975","0.011997"
