"benchmark","benchmark id","expected","asterix","cyclist","sleek","spen"
"sll0a_entl/clones-09-e06.tptp.smt2","946164","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-11-e07.tptp.smt2","946097","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc03.tptp.smt2","946098","unsat","complete","complete","complete","complete"
"sll0a_entl/ls-vc01.smt2","946088","sat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-14-e10.tptp.smt2","946008","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-01-e06.tptp.smt2","946208","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc71.tptp.smt2","946167","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-10-e08.tptp.smt2","945999","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/ls-vc03.smt2","946126","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-09-e05.tptp.smt2","946020","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc11.tptp.smt2","946094","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc28.tptp.smt2","946100","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc10.tptp.smt2","946198","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-18-e04.tptp.smt2","946156","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc51.tptp.smt2","946236","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc47.tptp.smt2","946134","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-15-e01.tptp.smt2","946106","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-08-e07.tptp.smt2","945959","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc70.tptp.smt2","945987","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc63.tptp.smt2","945991","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc08.tptp.smt2","946075","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-20-e10.tptp.smt2","946223","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-09-e04.tptp.smt2","946063","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-14-e01.tptp.smt2","946052","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-13-e07.tptp.smt2","945997","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc22.tptp.smt2","946022","sat","complete","complete","complete","complete"
"sll0a_entl/clones-05-e08.tptp.smt2","946214","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-03-e07.tptp.smt2","946218","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-17-e09.tptp.smt2","946131","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc53.tptp.smt2","946023","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-17-e08.tptp.smt2","946082","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-04-e04.tptp.smt2","945992","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-18-e03.tptp.smt2","946029","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-19-e03.tptp.smt2","946201","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-19-e02.tptp.smt2","946163","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-03-e10.tptp.smt2","946095","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-04-e08.tptp.smt2","946000","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-16-e04.tptp.smt2","945960","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-19-e05.tptp.smt2","946016","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/ls-vc04.smt2","946105","sat","complete","complete","complete","complete"
"sll0a_entl/clones-07-e10.tptp.smt2","946193","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-13-e06.tptp.smt2","945954","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-14-e02.tptp.smt2","946096","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-08-e08.tptp.smt2","946080","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc07.tptp.smt2","946053","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-10-e08.tptp.smt2","946125","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-18-e10.tptp.smt2","946139","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-11-e10.tptp.smt2","946122","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-12-e08.tptp.smt2","946110","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-20-e06.tptp.smt2","945957","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-11-e08.tptp.smt2","946180","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-01-e01.tptp.smt2","945958","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-07-e05.tptp.smt2","946130","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc59.tptp.smt2","946215","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc09.tptp.smt2","946037","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-02-e05.tptp.smt2","946189","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-18-e02.tptp.smt2","946202","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-09-e10.tptp.smt2","946011","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc67.tptp.smt2","946060","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-20-e04.tptp.smt2","946113","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc29.tptp.smt2","946004","sat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-19-e08.tptp.smt2","945952","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-17-e06.tptp.smt2","946091","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-06-e02.tptp.smt2","946010","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-05-e01.tptp.smt2","946066","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-08-e09.tptp.smt2","946133","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-01-e10.tptp.smt2","946019","sat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-20-e03.tptp.smt2","946203","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc04.tptp.smt2","945979","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-15-e09.tptp.smt2","946168","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-09-e07.tptp.smt2","946165","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc19.tptp.smt2","946062","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-14-e08.tptp.smt2","946169","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc74.tptp.smt2","946069","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-12-e04.tptp.smt2","946149","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc77.tptp.smt2","946129","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc37.tptp.smt2","946226","sat","complete","complete","complete","complete"
"sll0a_entl/clones-01-e05.tptp.smt2","946140","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc38.tptp.smt2","946007","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-16-e07.tptp.smt2","946187","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-06-e04.tptp.smt2","946154","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-19-e06.tptp.smt2","946018","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-13-e05.tptp.smt2","946034","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-04-e03.tptp.smt2","946142","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-19-e07.tptp.smt2","945985","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-12-e03.tptp.smt2","946014","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-16-e09.tptp.smt2","945988","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc24.tptp.smt2","946083","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-15-e08.tptp.smt2","946086","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-03-e03.tptp.smt2","945968","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-15-e05.tptp.smt2","945967","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc39.tptp.smt2","946072","sat","complete","complete","complete","complete"
"sll0a_entl/clones-03-e02.tptp.smt2","945972","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-06-e09.tptp.smt2","945981","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-07-e02.tptp.smt2","946161","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-07-e03.tptp.smt2","946160","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-06-e03.tptp.smt2","946006","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-05-e02.tptp.smt2","946151","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-07-e08.tptp.smt2","946185","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-02-e10.tptp.smt2","946119","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-15-e02.tptp.smt2","946205","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc34.tptp.smt2","946068","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-02-e03.tptp.smt2","946196","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-02-e02.tptp.smt2","946112","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-01-e07.tptp.smt2","945996","sat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc62.tptp.smt2","946157","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-06-e05.tptp.smt2","946118","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-05-e10.tptp.smt2","946120","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-15-e10.tptp.smt2","946184","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-10-e07.tptp.smt2","946059","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-12-e02.tptp.smt2","945986","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc23.tptp.smt2","946090","sat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc41.tptp.smt2","946079","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc05.tptp.smt2","946141","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-14-e03.tptp.smt2","946204","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-17-e02.tptp.smt2","945977","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-13-e01.tptp.smt2","945978","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-09-e02.tptp.smt2","946192","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-11-e02.tptp.smt2","945956","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-11-e05.tptp.smt2","945993","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-05-e07.tptp.smt2","946047","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-03-e04.tptp.smt2","946076","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-05-e04.tptp.smt2","946178","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc54.tptp.smt2","946055","sat","complete","complete","complete","complete"
"sll0a_entl/clones-01-e03.tptp.smt2","946188","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc20.tptp.smt2","946042","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc56.tptp.smt2","946021","sat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-17-e10.tptp.smt2","946024","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-15-e04.tptp.smt2","945963","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc26.tptp.smt2","946044","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-10-e04.tptp.smt2","946030","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-03-e08.tptp.smt2","946036","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/bolognesa-19-e04.tptp.smt2","946009","sat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/smallfoot-vc25.tptp.smt2","946101","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc55.tptp.smt2","946046","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc06.tptp.smt2","946013","unsat","complete","complete","complete","complete"
"sll0a_entl/bolognesa-11-e09.tptp.smt2","946089","unsat","complete","timeout (cpu)","complete","complete"
"sll0a_entl/clones-08-e04.tptp.smt2","945975","unsat","complete","complete","complete","complete"
"sll0a_entl/smallfoot-vc13.tptp.smt2","946026","unsat","complete","complete","complete","complete"
"sll0a_entl/clones-04-e09.tptp.smt2","946209","sat","complete","timeout (cpu)","complete","complete"
