pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21853204,sll0a_sat/spaguetti-10-e01.tptp.smt2,945799,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.011685,unsat,unsat
21853205,sll0a_sat/spaguetti-12-e09.tptp.smt2,945800,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0116109,sat,sat
21853206,sll0a_sat/spaguetti-10-e05.tptp.smt2,945801,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.012814,sat,sat
21853207,sll0a_sat/spaguetti-11-e05.tptp.smt2,945802,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.019648,sat,sat
21853208,sll0a_sat/spaguetti-20-e07.tptp.smt2,945803,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0273849,sat,sat
21853209,sll0a_sat/spaguetti-15-e06.tptp.smt2,945804,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0211089,sat,sat
21853210,sll0a_sat/spaguetti-20-e04.tptp.smt2,945805,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0120259,sat,sat
21853211,sll0a_sat/spaguetti-11-e02.tptp.smt2,945806,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0122699,sat,sat
21853212,sll0a_sat/spaguetti-15-e10.tptp.smt2,945807,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.011476,sat,sat
21853213,sll0a_sat/spaguetti-20-e01.tptp.smt2,945808,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0210359,unsat,unsat
21853214,sll0a_sat/spaguetti-19-e08.tptp.smt2,945809,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0128921,sat,sat
21853215,sll0a_sat/spaguetti-13-e02.tptp.smt2,945810,Asterix-cpp,986,default.sh,1233,complete,0.008998,0.0171219,sat,sat
21853216,sll0a_sat/spaguetti-12-e05.tptp.smt2,945811,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0189201,sat,sat
21853217,sll0a_sat/spaguetti-19-e05.tptp.smt2,945812,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.016683,sat,sat
21853218,sll0a_sat/spaguetti-11-e06.tptp.smt2,945813,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0120451,sat,sat
21853219,sll0a_sat/spaguetti-15-e04.tptp.smt2,945814,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0129319,sat,sat
21853220,sll0a_sat/spaguetti-13-e07.tptp.smt2,945815,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.0137569,unsat,unsat
21853221,sll0a_sat/spaguetti-20-e08.tptp.smt2,945816,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0119891,sat,sat
21853222,sll0a_sat/spaguetti-13-e05.tptp.smt2,945817,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0117859,unsat,unsat
21853223,sll0a_sat/spaguetti-10-e02.tptp.smt2,945818,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.011318,sat,sat
21853224,sll0a_sat/spaguetti-17-e09.tptp.smt2,945819,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0128401,sat,sat
21853225,sll0a_sat/spaguetti-17-e01.tptp.smt2,945820,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.012391,sat,sat
21853226,sll0a_sat/spaguetti-15-e09.tptp.smt2,945821,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.022663,unsat,unsat
21853227,sll0a_sat/spaguetti-10-e09.tptp.smt2,945822,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.01697,unsat,unsat
21853228,sll0a_sat/spaguetti-14-e02.tptp.smt2,945823,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.010983,unsat,unsat
21853229,sll0a_sat/spaguetti-13-e08.tptp.smt2,945824,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0116381,sat,sat
21853230,sll0a_sat/spaguetti-12-e06.tptp.smt2,945825,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0119211,unsat,unsat
21853231,sll0a_sat/spaguetti-14-e03.tptp.smt2,945826,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0118761,unsat,unsat
21853232,sll0a_sat/spaguetti-10-e10.tptp.smt2,945827,Asterix-cpp,986,default.sh,1233,complete,0.008998,0.01061,sat,sat
21853233,sll0a_sat/spaguetti-12-e03.tptp.smt2,945828,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0201889,unsat,unsat
21853234,sll0a_sat/spaguetti-16-e01.tptp.smt2,945829,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0227441,unsat,unsat
21853235,sll0a_sat/spaguetti-19-e06.tptp.smt2,945830,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0124959,sat,sat
