"benchmark","benchmark id","expected","asterix","sleek","slsat","spen"
"sll0a_sat/spaguetti-20-e10.tptp.smt2","945882","unsat","0.010997","0.048992","19.971","0.040993"
"sll0a_sat/spaguetti-16-e08.tptp.smt2","945887","unsat","0.009997","0.049992","8.49771","0.024995"
"sll0a_sat/spaguetti-14-e10.tptp.smt2","945840","unsat","0.010997","0.049991","0.621904","0.016997"
"sll0a_sat/spaguetti-15-e10.tptp.smt2","945807","sat","0.009998","0.045992","0.284955","0.025995"
"sll0a_sat/spaguetti-19-e10.tptp.smt2","945896","unsat","0.012997","0.050991","230.364","0.05599"
"sll0a_sat/spaguetti-16-e06.tptp.smt2","945833","sat","0.009998","0.046991","0.169973","0.034994"
"sll0a_sat/spaguetti-10-e04.tptp.smt2","945859","unsat","0.011998","0.045992","0.25396","0.007998"
"sll0a_sat/spaguetti-10-e10.tptp.smt2","945827","sat","0.008998","0.044992","0.010997","0.010997"
"sll0a_sat/spaguetti-14-e03.tptp.smt2","945826","unsat","0.009998","0.047991","0.596908","0.016997"
"sll0a_sat/spaguetti-16-e03.tptp.smt2","945844","sat","0.009998","0.047992","0.077987","0.030994"
"sll0a_sat/spaguetti-19-e05.tptp.smt2","945812","sat","0.011997","0.051991","939.395","0.12498"
"sll0a_sat/spaguetti-12-e09.tptp.smt2","945800","sat","0.009997","0.044992","0.005998","0.011997"
"sll0a_sat/spaguetti-13-e03.tptp.smt2","945861","unsat","0.010997","0.049992","0.534917","0.015997"
"sll0a_sat/spaguetti-20-e05.tptp.smt2","945877","unsat","0.009997","0.051991","23.0645","0.044993"
"sll0a_sat/spaguetti-17-e07.tptp.smt2","945899","unsat","0.009997","0.046992","1.75073","0.025995"
"sll0a_sat/spaguetti-11-e01.tptp.smt2","945834","unsat","0.009998","0.046992","0.050992","0.007998"
"sll0a_sat/spaguetti-12-e05.tptp.smt2","945811","sat","0.009998","0.047992","0.026995","0.014997"
"sll0a_sat/spaguetti-14-e09.tptp.smt2","945856","unsat","0.009998","0.045992","3.2565","0.021996"
"sll0a_sat/spaguetti-10-e01.tptp.smt2","945799","unsat","0.009998","0.047992","0.029994","0.008998"
"sll0a_sat/spaguetti-18-e08.tptp.smt2","945881","unsat","0.009997","0.05299","55.1896","0.042993"
"sll0a_sat/spaguetti-10-e03.tptp.smt2","945902","unsat","0.010997","0.045992","0.054991","0.008998"
"sll0a_sat/spaguetti-12-e10.tptp.smt2","945862","sat","0.009998","0.049992","0.030994","0.013997"
"sll0a_sat/spaguetti-11-e10.tptp.smt2","945908","sat","0.010997","0.044993","0.111982","0.017997"
"sll0a_sat/spaguetti-12-e06.tptp.smt2","945825","unsat","0.009998","0.046992","0.561913","0.016997"
"sll0a_sat/spaguetti-16-e10.tptp.smt2","945837","sat","0.009997","0.052991","0.377941","0.035993"
"sll0a_sat/spaguetti-16-e02.tptp.smt2","945885","unsat","0.009998","0.048991","0.695893","0.017996"
"sll0a_sat/spaguetti-18-e03.tptp.smt2","945848","sat","0.009997","0.047992","0.015996","0.023995"
"sll0a_sat/spaguetti-19-e07.tptp.smt2","945852","unsat","0.010998","0.047992","8.48135","0.033994"
"sll0a_sat/spaguetti-16-e04.tptp.smt2","945874","sat","0.010997","0.048991","1.83272","0.042993"
"sll0a_sat/spaguetti-19-e02.tptp.smt2","945904","sat","0.010997","0.051991","46.262","0.094984"
"sll0a_sat/spaguetti-15-e08.tptp.smt2","945880","unsat","0.009997","0.048991","3.64245","0.021995"
"sll0a_sat/spaguetti-12-e08.tptp.smt2","945901","sat","0.009997","0.045992","0.25196","0.019996"
"sll0a_sat/spaguetti-11-e06.tptp.smt2","945813","sat","0.009997","0.049991","1.14682","0.021995"
"sll0a_sat/spaguetti-11-e08.tptp.smt2","945855","sat","0.009998","0.044992","0.008998","0.009998"
"sll0a_sat/spaguetti-16-e05.tptp.smt2","945841","unsat","0.009998","0.055991","0.080987","0.012997"
"sll0a_sat/spaguetti-17-e04.tptp.smt2","945906","sat","0.009997","0.048992","0.005998","0.035994"
"sll0a_sat/spaguetti-11-e05.tptp.smt2","945802","sat","0.009997","0.047991","0.025995","0.014997"
"sll0a_sat/spaguetti-13-e02.tptp.smt2","945810","sat","0.008998","0.044992","0.016996","0.016997"
"sll0a_sat/spaguetti-13-e01.tptp.smt2","945869","unsat","0.009997","0.048991","0.642901","0.015997"
"sll0a_sat/spaguetti-20-e07.tptp.smt2","945803","sat","0.010997","0.048992","2.15967","0.05999"
