"benchmark","benchmark id","expected","asterix","sleek","slsat","spen"
"sll0a_sat/spaguetti-20-e10.tptp.smt2","945882","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-16-e08.tptp.smt2","945887","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-14-e10.tptp.smt2","945840","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-15-e10.tptp.smt2","945807","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-19-e10.tptp.smt2","945896","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-16-e06.tptp.smt2","945833","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-10-e04.tptp.smt2","945859","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-10-e10.tptp.smt2","945827","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-14-e03.tptp.smt2","945826","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-16-e03.tptp.smt2","945844","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-19-e05.tptp.smt2","945812","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-12-e09.tptp.smt2","945800","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-13-e03.tptp.smt2","945861","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-20-e05.tptp.smt2","945877","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-17-e07.tptp.smt2","945899","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-11-e01.tptp.smt2","945834","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-12-e05.tptp.smt2","945811","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-14-e09.tptp.smt2","945856","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-10-e01.tptp.smt2","945799","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-18-e08.tptp.smt2","945881","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-10-e03.tptp.smt2","945902","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-12-e10.tptp.smt2","945862","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-11-e10.tptp.smt2","945908","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-12-e06.tptp.smt2","945825","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-16-e10.tptp.smt2","945837","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-16-e02.tptp.smt2","945885","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-18-e03.tptp.smt2","945848","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-19-e07.tptp.smt2","945852","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-16-e04.tptp.smt2","945874","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-19-e02.tptp.smt2","945904","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-15-e08.tptp.smt2","945880","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-12-e08.tptp.smt2","945901","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-11-e06.tptp.smt2","945813","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-11-e08.tptp.smt2","945855","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-16-e05.tptp.smt2","945841","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-17-e04.tptp.smt2","945906","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-11-e05.tptp.smt2","945802","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-13-e02.tptp.smt2","945810","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-13-e01.tptp.smt2","945869","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-20-e07.tptp.smt2","945803","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-20-e08.tptp.smt2","945816","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-10-e07.tptp.smt2","945897","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-11-e09.tptp.smt2","945851","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-16-e07.tptp.smt2","945868","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-18-e05.tptp.smt2","945903","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-12-e04.tptp.smt2","945864","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-20-e06.tptp.smt2","945835","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-17-e08.tptp.smt2","945860","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-11-e07.tptp.smt2","945849","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-13-e10.tptp.smt2","945907","sat","sat","sat","sat","sat"
"sll0a_sat/spaguetti-12-e07.tptp.smt2","945853","unsat","unsat","unsat","unsat","unsat"
"sll0a_sat/spaguetti-17-e03.tptp.smt2","945893","unsat","unsat","unsat","unsat","unsat"
